Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0921391M;Collège Jean Jaurès;Collège;Public;91 rue Rivay;;;92300;92044;Levallois-Perret;092;25;11;;;0;0;0;01 47 37 12 69;01 47 37 59 60;https://clg-jaures-levallois.ac-versailles.fr/;0921391M@ac-versailles.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;19921391900012;379;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14766;48.89797105903674, 2.2864425084330593;SANS OBJET;Hauts-de-Seine;Versailles;Ile-de-France;647685.9;6866677.0;EPSG:2154;Circonscription d'inspection du 1er degré de Nanterre - Coordination ASH I;48.89797105903674;2.2864425084330593;Numéro de rue;1971-03-12;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0921393P;;;0922540L;;;25015;092E-NEUILLY-SUR-SEINE
0931713G;Collège Antoine Laurent de Lavoisier;Collège;Public;2-4 rue Lavoisier;;;93500;93055;Pantin;093;24;11;;;0;0;0;01 48 40 60 57;;https://lavoisier-pantin.webcollege.seinesaintdenis.fr/;ce.0931713G@ac-creteil.fr;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;19931713200017;649;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3747;48.88937122329808, 2.4196866280306595;SANS OBJET;Seine-Saint-Denis;Créteil;Ile-de-France;657447.4;6865640.7;EPSG:2154;;48.88937122329808;2.4196866280306595;Rue;1977-03-18;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;;;;;;;24933;93 BASSIN 3 (DIST. 5 ET 6)
0753268V;Lycée polyvalent Jean Lurçat - Site Gobelins;Lycée;Public;48 avenue des Gobelins;;;75013;75113;Paris;075;01;11;;;0;1;0;01 44 08 70 20;01 43 36 00 23;http://www.lycee-jean-lurcat.net;ce.0753268V@ac-paris.fr;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;;0;19753268200014;464;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16761;48.83420799456895, 2.353337607800063;SANS OBJET;Paris;Paris;Ile-de-France;652532.1;6859544.8;EPSG:2154;;48.83420799456895;2.353337607800063;Numéro de rue;1966-09-30;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1;0;;306;LYCEE POLYVALENT;99;0750787Y;;;;075002;ZAP 5-13;01000;BASSIN PARIS
0753939Z;Collège Jean Perrin;Collège;Public;6 rue Eugène Reisz;;;75020;75120;Paris;075;01;11;;;0;0;0;01 43 70 59 16;01 43 70 99 90;https://clg-jean-perrin.ac-paris.fr;ce.0753939z@ac-paris.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;REP;0;19753939800010;336;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9257;48.85685306092131, 2.411192497090158;SANS OBJET;Paris;Paris;Ile-de-France;656797.6;6862029.5;EPSG:2154;;48.85685306092131;2.411192497090158;Numéro de rue;1968-04-24;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0753046D;;;;075008;ZAP 11-20;01000;BASSIN PARIS
0754081D;Lycée privé Sainte-Ursule Louise de Bettignies;Lycée;Privé;25 rue Daubigny;;;75017;75117;Paris;075;01;11;;;1;0;0;01 42 27 75 81;01 42 27 96 55;https://ste-ursule.com/;ce.0754081d@ac-paris.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77569150400028;407;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16765;48.885902436925115, 2.3074889584434857;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;649217.1;6865321.3;EPSG:2154;;48.885902436925115;2.3074889584434857;Numéro de rue;1968-03-28;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;302;LYCEE D ENSEIGNEMENT GENERAL;30;0752842G;;;;;;01000;BASSIN PARIS
0754530S;Lycée polyvalent Martin Nadaud;Lycée;Public;23 rue de la Bidassoa;;;75020;75120;Paris;075;01;11;;;0;1;1;01 40 33 80 50;01 46 36 71 17;http://lyc-martin-nadaud.ac-paris.fr;ce.0754530S@ac-paris.fr;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;;0;19750453300013;444;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15683;48.8661902056673, 2.3935769740693646;SANS OBJET;Paris;Paris;Ile-de-France;655513.1;6863077.5;EPSG:2154;;48.8661902056673;2.3935769740693646;Numéro de rue;1993-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0750828T;;;;075008;ZAP 11-20;01000;BASSIN PARIS
0754015G;Lycée polyvalent privé Jules Richard;Lycée;Privé;21 rue Carducci;;;75019;75119;Paris;075;01;11;;;0;1;1;01 53 72 83 60;01 53 72 83 70;http://www.lyceejulesrichard.fr;secretariat@lyceejulesrichard.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;0;78477853200019;149;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13275;48.87747442064632, 2.3856901542627416;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654944.3;6864336.7;EPSG:2154;;48.87747442064632;2.3856901542627416;Numéro de rue;1968-03-15;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;30;;;;;;;01000;BASSIN PARIS
0920163C;Lycée professionnel Louis Girard;Lycée;Public;85 rue Louis Girard;;;92240;92046;Malakoff;092;25;11;;;0;0;1;01 46 42 63 84;01 46 42 47 04;https://lyc-girard-malakoff.ac-versailles.fr/;0920163c@ac-versailles.fr;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;;1;19920163300013;245;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18103;48.81081427469016, 2.2831562997306007;SANS OBJET;Hauts-de-Seine;Versailles;Ile-de-France;647357.0;6856988.2;EPSG:2154;;48.81081427469016;2.2831562997306007;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0920880G;;;;;;25018;092F-VANVES
0922247T;Collège de la Paix;Collège;Public;74 rue du Fort;;;92130;92040;Issy-les-Moulineaux;092;25;11;;;0;0;0;01 46 44 14 31;01 40 95 08 37;;0922247T@ac-versailles.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;19922247200029;660;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8249;48.81791144701705, 2.270380513339997;SANS OBJET;Hauts-de-Seine;Versailles;Ile-de-France;646426.1;6857785.9;EPSG:2154;;48.81791144701705;2.270380513339997;Numéro de rue;1992-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0921396T;;;;;;25016;092B-BOULOGNE-BILLANCOURT
0750550R;Collège Lucie Faure;Collège;Public;40 rue des Pyrénées;;;75020;75120;Paris;075;01;11;;;0;0;0;01 58 39 34 70;01 43 72 55 19;https://clg-lucie-faure.ac-paris.fr;ce.0750550R@ac-paris.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;19750550600018;357;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3329;48.85056470859537, 2.406619245956443;SANS OBJET;Paris;Paris;Ile-de-France;656456.8;6861332.8;EPSG:2154;;48.85056470859537;2.406619245956443;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0753046D;;;;075008;ZAP 11-20;01000;BASSIN PARIS
0940024R;Collège Ovide Decroly;Collège;Public;49 avenue Daumesnil;;;94160;94067;Saint-Mandé;094;24;11;;;0;0;0;01 43 28 31 00;01 43 28 15 18;http://ecole.decroly.free.fr;ce.0940024R@ac-creteil.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19940024300010;130;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.874;48.83527878521217, 2.420283398959515;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;657447.0;6859625.7;EPSG:2154;Circonscription d'inspection du 1er degré SDEI 1;48.83527878521217;2.420283398959515;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;;;;0941329J;;;24941;94 BASSIN 1-EST (DIST. 1 ET 2)
0754290F;Collège privé Ozar Hatorah;Collège;Privé;34 rue du Moulin Joly;;;75011;75111;Paris;075;01;11;;;0;0;0;01 43 38 50 19;01 43 38 12 62;;ce.0754290F@ac-paris.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;77567877400198;264;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2538;48.870211287559485, 2.378006460299218;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654374.4;6863533.5;EPSG:2154;;48.870211287559485;2.378006460299218;Numéro de rue;1988-09-20;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0754290F;;;;;;01000;BASSIN PARIS
0922801V;Lycée Simone Veil;Lycée;Public;6 place Jules Guesde;;;92100;92012;Boulogne-Billancourt;092;25;11;;;1;1;0;01 40 84 72 20;;;ce.0922801V@ac-versailles.fr;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;;0;20007691700018;565;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2360;48.82698608047683, 2.2417255523005926;SANS OBJET;Hauts-de-Seine;Versailles;Ile-de-France;644331.8;6858814.7;EPSG:2154;;48.82698608047683;2.2417255523005926;Numéro de rue;2018-06-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0921239X;;;;;;25016;092B-BOULOGNE-BILLANCOURT
0750655E;Lycée Louis Le Grand;Lycée;Public;123 rue Saint Jacques;;;75005;75105;Paris;075;01;11;;;1;1;0;01 44 32 82 00;01 44 32 82 33;https://www.louislegrand.fr/;ce.0750655E@ac-paris.fr;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;;0;19750655300019;884;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9331;48.84801821932347, 2.344176457952448;SANS OBJET;Paris;Paris;Ile-de-France;651872.4;6861085.9;EPSG:2154;;48.84801821932347;2.344176457952448;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752531U;;;;075002;ZAP 5-13;01000;BASSIN PARIS
0752252R;Collège Hector Berlioz;Collège;Public;17 rue Georgette Agutte;;;75018;75118;Paris;075;01;11;;;0;0;0;01 46 27 33 85;01 42 28 48 11;http://clg-berlioz.ac-paris.fr;ce.0752252r@ac-paris.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;REP;0;19752252700013;395;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2204;48.89581471106791, 2.332815469011771;SANS OBJET;Paris;Paris;Ile-de-France;651083.6;6866407.5;EPSG:2154;;48.89581471106791;2.332815469011771;Numéro de rue;1974-05-08;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0752252R;;;;075006;ZAP 9-18;01000;BASSIN PARIS
0752527P;Collège Montaigne;Collège;Public;17 rue Auguste Comte;;;75006;75106;Paris;075;01;11;;;0;0;0;01 44 41 83 23;01 44 07 18 95;http://www.montaigne-paris.fr;ce.0752527P@ac-paris.fr;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;19752527200013;600;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1867;48.844236978189386, 2.3348315716616432;SANS OBJET;Paris;Paris;Ile-de-France;651183.1;6860671.2;EPSG:2154;;48.844236978189386;2.3348315716616432;Numéro de rue;1977-03-11;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0752527P;;;;075003;ZAP 6-14;01000;BASSIN PARIS
0755433Y;Collège Aimé Césaire;Collège;Public;2 esplanade Nathalie Sarraute;;;75018;75118;Paris;075;01;11;;;0;0;0;01 40 05 69 10;;https://clg-aime-cesaire.ac-paris.fr;ce.0755433y@ac-paris.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;REP;0;20001856200013;351;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18462;48.88757577390621, 2.361979663421302;SANS OBJET;Paris;Paris;Ile-de-France;653214.4;6865473.7;EPSG:2154;;48.88757577390621;2.361979663421302;Numéro de rue;2009-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0755433Y;;;;075006;ZAP 9-18;01000;BASSIN PARIS
0940038F;Collège Jean Charcot;Collège;Public;Place du 8 Mai 1945;;;94340;94042;Joinville-le-Pont;094;24;11;;;0;0;0;01 41 81 48 20;01 41 81 48 28;http://charcot-joinville.ac-creteil.fr/wordpress/?ticket;ce.0940038f@ac-creteil.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19940038300014;374;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15289;48.81610873109577, 2.466257768977907;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;660807.2;6857470.4;EPSG:2154;Circonscription d'inspection du 1er degré SDEI 1;48.81610873109577;2.466257768977907;Rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0940038F;;;0941329J;;;24942;94 BASSIN 2-CENTRAL (DIST 3, 4, 5 ET 10)
0921015D;Collège Saint-Pierre Saint-Jean;Collège;Privé;121 avenue Achille Péretti;;;92200;92051;Neuilly-sur-Seine;092;25;11;;;0;0;0;01 47 45 46 33;01 47 45 17 79;;0921015D@ac-versailles.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77572827200029;380;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9313;48.88402114132471, 2.270111556387921;CONTRAT D'ASSOCIATION TOUTES CLASSES;Hauts-de-Seine;Versailles;Ile-de-France;646474.3;6865136.8;EPSG:2154;;48.88402114132471;2.270111556387921;Numéro de rue;1968-03-05;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0922686V;;;;;;25015;092E-NEUILLY-SUR-SEINE
0942188T;Collège Françoise Giroud;Collège;Public;14-16 rue Leroyer;;;94300;94080;Vincennes;094;24;11;;;0;0;0;01 41 79 66 60;01 48 08 67 73;;ce.0942188t@ac-creteil.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;20000155000017;558;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17273;48.851464294779795, 2.4406473419829613;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;658954.5;6861414.6;EPSG:2154;Circonscription d'inspection du 1er degré SDEI 1;48.851464294779795;2.4406473419829613;Numéro de rue;2006-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0942188T;;;0941329J;;;24941;94 BASSIN 1-EST (DIST. 1 ET 2)
0752198G;Collège Pierre Mendès-France;Collège;Public;24 rue le Vau;;;75020;75120;Paris;075;01;11;;;0;0;0;01 43 61 27 57;01 40 31 08 06;https://clg-pierre-mendes-france.ac-paris.fr;ce.0752198g@ac-paris.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP;0;19752198200011;498;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14390;48.86805779207705, 2.4111599096639362;SANS OBJET;Paris;Paris;Ile-de-France;656804.5;6863275.4;EPSG:2154;;48.86805779207705;2.4111599096639362;Numéro de rue;1973-04-11;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0752696Y;;;;075008;ZAP 11-20;01000;BASSIN PARIS
0750828T;Établissement régional d'enseignement adapté Édith Piaf;EREA;Public;316 rue de Belleville;;;75020;75120;Paris;075;01;11;;;0;0;0;01 40 32 43 50;01 40 32 43 60;https://erea-piaf.ac-paris.fr;ce.0750828t@ac-paris.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;19750828600014;146;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5971;48.87668085674949, 2.4052091315685047;SANS OBJET;Paris;Paris;Ile-de-France;656375.2;6864237.5;EPSG:2154;Circonscription d'inspection du 1er degré de Paris - ASH 2 - Scolarisation en milieu ordinaire;48.87668085674949;2.4052091315685047;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;370;ETAB REGIONAL/LYCEE ENSEIGNEMENT ADAPTE;99;0750828T;;;0750087M;075008;ZAP 11-20;01000;BASSIN PARIS
0941474S;Lycée polyvalent Darius Milhaud;Lycée;Public;80 rue Professeur Bergonie;;;94270;94043;Le Kremlin-Bicêtre;094;24;11;;;1;1;1;01 43 90 15 15;01 43 90 15 73;http://www.ldm94.fr;ce.0941474S@ac-creteil.fr;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;;1;19941474900010;1580;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10008;48.80228099461428, 2.350712236765382;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;652310.2;6855996.5;EPSG:2154;;48.80228099461428;2.350712236765382;Numéro de rue;1976-09-15;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;;;;;;;24943;94 BASSIN 3-OUEST (DIST. 6, 7, 8 ET 9)
