LicenceRSN,LicenceNumber,LicenceRevisionNumber,BusinessName,BusinessTradeName,Status,IssuedDate,ExpiredDate,BusinessType,BusinessSubType,Unit,UnitType,House,Street,City,Province,Country,PostalCode,LocalArea,NumberOfEmployees,Latitude,Longitude,FeePaid,ExtractDate
2568403,16-109592,0,Vintage Woodworks Inc ,,Issued,15-12-23 14:15,16-12-31 0:00,Contractor - Special Trades,Installation,,,6701,Oldfield Road,Saanichton,BC,CAN,V8M 2A1,,19,,,165,16-06-12
2568501,16-109690,0,Titan Window Films Ltd ,,Issued,15-12-07 13:29,16-12-31 0:00,Contractor - Special Trades,Installation,B,Unit,6670,Bertram Place,Saanichton,BC,CAN,V8M 1Z6,,8,,,165,16-06-12
2705204,16-229535,0,Ronald William Stanley Harrison Barz (Roanld Barz),Plumb-It Mechanical ,Issued,16-05-09 15:26,16-12-31 0:00,Plumber & Gas Contractor,,,,6782,Jedora Dr,Brentwood Bay,BC,CAN,V8M 1A5,,0,,,144,16-06-12
2590824,16-132003,0,Archeus Architecture & Design Inc ,,Pending,,,Office,Architect,,,123,Scarff Lane,Salt Spring Island,BC,CAN,V8K 2P5,,1,,,,16-06-12
2598423,16-139594,0,Ray Johnson Plumbing & Heating Ltd ,,Issued,16-02-29 15:54,16-12-31 0:00,Plumber & Gas Contractor,,104,Unit,1121,Commercial Way,Squamish,BC,CAN,V8B 0S5,,0,,,176,16-06-12
2596607,16-137781,0,Urban Wedding Ltd ,,Pending,,,Photographer,,126,Unit,41105,Tantalus Road,Squamish,BC,CAN,V8B 0N3,,0,,,,16-06-12
2566194,16-107384,0,Laurent Gilles Nogues (Laurent Nogues),Focus West Contracting ,Issued,16-02-23 12:49,16-12-31 0:00,Contractor,Alterations & Repairs,,,39001,Plateau Drive,Squamish,BC,CAN,V8B 0C2,,0,,,165,16-06-12
2566575,16-107765,0,Pacific Solutions Contracting Ltd ,,Issued,16-01-25 12:13,16-12-31 0:00,Contractor,Alterations & Repairs,,,1799,Garden Place,Squamish,BC,CAN,V8B 0C2,,0,,,205,16-06-12
2568156,16-109345,0,Ian Groves & Laura McEwan ,Tanktech Environmental Services ,Issued,15-11-19 12:49,16-12-31 0:00,Contractor - Special Trades,Demolition/Excavation,,,,,Squamish,BC,CAN,V8B 0C2,,2,,,165,16-06-12
2583384,16-124566,0,All About Gardening Inc ,,Issued,15-11-30 15:49,16-12-31 0:00,Landscape Gardener,,,,38646,Cherry Dr,Squamish,BC,CAN,V8B 0C2,,1,,,136,16-06-12
2597436,16-138609,0,Shane Aaron Jackson (Shane Jackson),Shane's Plumbing & Heating ,Issued,16-01-28 12:01,16-12-31 0:00,Plumber,,,,38305,Fir St,Squamish,BC,CAN,V8B 0C2,,0,,,176,16-06-12
2572858,16-114045,0,Alora Electric Ltd ,,Issued,15-11-30 10:01,16-12-31 0:00,Electrical Contractor,,,,1180,Victoria St,Squamish,BC,CAN,V8B 0A9,,2,,,136,16-06-12
2591704,16-132882,0,Daniel Gordon Morrice (Daniel Morrice),Centreline Design ,Pending,,,Office,Project Management,,,,,Squamish,BC,CAN,V8B 0A7,,0,,,,16-06-12
2595653,16-136828,0,Howe Sound Brewing Company Ltd ,,Issued,15-12-02 15:17,16-12-31 0:00,Office,Manufacturer's Agent,,,37801,Cleveland Av,Squamish,BC,CAN,V8B 0A7,,140,,,136,16-06-12
2572138,16-113325,0,Continental Power Services (1987) Ltd ,,Pending,,,Electrical Contractor,,D,Unit,39002,Discovery Way,Squamish,BC,CAN,V8B 0A6,,2,,,,16-06-12
2586150,16-127330,0,Nicole Marie Scott (Nicole Scott),,Pending,,,Massage Therapist,,,,4846,Ann Ave,Powell River,BC,CAN,V8A 5P7,,0,,,,16-06-12
2599092,16-140263,0,Gap (Canada) Inc #6731 ,Banana Republic ,Issued,15-12-11 12:59,16-12-31 0:00,Retail Dealer,Clothing/Shoes,D062,Unit,701,W Georgia St,Vancouver,BC,CAN,V7Y1K8,02-Central Business/Downtown,52,49.28340053,-123.1177513,136,16-06-12
2587861,16-129040,0,Richard J Balfour (Richard Balfour),McCarthy Tetrault LLP ,Issued,15-12-22 9:54,16-12-31 0:00,Office,Barrister & Solicitor,1300,Suite,777,Dunsmuir St,Vancouver,BC,CAN,V7Y1K2,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2588093,16-129272,0,Nicholas L Hughes (Nicholas Hughes),McCarthy Tetrault LLP ,Issued,15-12-22 9:54,16-12-31 0:00,Office,Barrister & Solicitor,1300,Suite,777,Dunsmuir St,Vancouver,BC,CAN,V7Y1K2,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2588238,16-129417,0,Darcie A Laurient (Darcie Laurient),,Issued,15-12-23 9:40,16-12-31 0:00,Office,Barrister & Solicitor,2700,Suite,700,W Georgia St,Vancouver,BC,CAN,V7Y1B8,02-Central Business/Downtown,0,49.28224344,-123.1195008,136,16-06-12
2571639,16-112826,0,Appleone Services Ltd ,AppleOne Employment Services ,Issued,16-01-21 15:45,16-12-31 0:00,Employment Agency,,1065,Unit,555,BURRARD ST,Vancouver,BC,CAN,V7Y 1M7 ,02-Central Business/Downtown,12,49.28655707,-123.1189597,136,16-06-12
2594348,16-135524,0,(Walid Alnabulsi),Black Horse Business & Technology ,Issued,15-12-26 2:00,16-12-31 0:00,Office,Administration,1500,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1L2,02-Central Business/Downtown,1,49.28340053,-123.1177513,136,16-06-12
2573433,16-114620,0,CKNW/CFMI A Div of Corus Premium Television ,,Issued,16-01-06 11:11,16-12-31 0:00,Entertainment Services,Radio Station,2000,Unit,700,W Georgia St,Vancouver,BC,CAN,V7Y 1K9,02-Central Business/Downtown,0,49.28224344,-123.1195008,136,16-06-12
2576873,16-118058,0,TD Canada Trust ,,Issued,16-01-06 17:10,16-12-31 0:00,Financial Services,Bank Machine,,,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,0,49.28340053,-123.1177513,136,16-06-12
2583826,16-125008,0,Vina Restaurants Ltd ,Vina Vietnamese Gourmet Restaurant ,Issued,16-02-03 11:45,16-12-31 0:00,Ltd Service Food Establishment,,FC-04,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,28,49.28340053,-123.1177513,542,16-06-12
2583838,16-125020,0,N Y Fries BC (1998) Inc ,,Issued,15-12-21 13:13,16-12-31 0:00,Ltd Service Food Establishment,,FC-05,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,8,49.28340053,-123.1177513,493,16-06-12
2583899,16-125081,0,Green Mountain Investment Corp ,Jugo Juice ,Issued,16-02-08 2:04,16-12-31 0:00,Ltd Service Food Establishment,,FC-03A,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,9,49.28340053,-123.1177513,542,16-06-12
2583902,16-125084,0,Speedi Gourmet Ltd ,Orange Julius ,Issued,15-12-17 14:44,16-12-31 0:00,Ltd Service Food Establishment,,FC-11,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,22,49.28340053,-123.1177513,493,16-06-12
2588944,16-130123,0,Guy J Collette Law Corporation ,Collette Parsons Lawyers ,Issued,15-11-30 15:12,16-12-31 0:00,Office,Barrister & Solicitor,1750,Unit,700,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,6,49.28224344,-123.1195008,136,16-06-12
2589229,16-130408,0,Steven D Wallace (Steven Wallace),Dolden Wallace Folick Law Partnership ,Issued,16-02-02 15:26,16-12-31 0:00,Office,Barrister & Solicitor,18th Floor,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,43,49.28340053,-123.1177513,158,16-06-12
2590718,16-131897,0,Davies Park and Associates (Vancouver) Inc ,,Issued,15-11-18 10:13,16-12-31 0:00,Office,Consultant,880,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,11,49.28340053,-123.1177513,136,16-06-12
2590749,16-131928,0,Pistol Bay Mining Inc ,,Pending,,,Office,Mining Exploration,430,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,12,49.28340053,-123.1177513,,16-06-12
2592665,16-133843,0,The Cadillac Fairview Corporation Limited ,Cadillac Fairview ,Issued,15-12-21 11:11,16-12-31 0:00,Office,Property Management,910,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,53,49.28340053,-123.1177513,136,16-06-12
2593055,16-134233,0,Imin Consulting (Canada) Ltd ,,Issued,15-12-21 10:19,16-12-31 0:00,Office,Consultant,1500,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,5,49.28340053,-123.1177513,136,16-06-12
2593923,16-135099,0,Bo Rothstein Law Corporation ,Farris Vaughan Wills & Murphy LLP ,Issued,16-01-07 14:32,16-12-31 0:00,Office,Barrister & Solicitor,2500,Unit,700,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,1,49.28224344,-123.1195008,146,16-06-12
2595727,16-136901,0,Cango Immigration Consulting Inc ,CML Consulting (CANADA) ,Issued,15-11-27 15:38,16-12-31 0:00,Office,Consultant,1410,Unit,700,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,8,49.28224344,-123.1195008,136,16-06-12
2595969,16-137143,0,The Cadillac Fairview Corporation Limited ,,Issued,15-12-09 16:19,16-12-31 0:00,Office,Property Management,410,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,24,49.28340053,-123.1177513,136,16-06-12
2597707,16-138879,0,Rovio Animation Company Ltd ,,Inactive,15-12-11 13:53,16-12-31 0:00,Production Company,Film Production,1580,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,8,49.28340053,-123.1177513,136,16-06-12
2598956,16-140127,0,Ann-Louise Jewellers Ltd ,Siba Jewellers ,Issued,16-02-10 10:56,16-12-31 0:00,Retail Dealer,Other,G044,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,8,49.28340053,-123.1177513,176,16-06-12
2599042,16-140213,0,Club Monaco Inc ,Club Monaco ,Issued,15-12-29 11:34,16-12-31 0:00,Retail Dealer,Clothing/Shoes,D049,Unit,701,W Georgia St,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,40,49.28340053,-123.1177513,136,16-06-12
2599248,16-140419,0,AFH Canada Stores Co ,Hollister #30080 ,Issued,15-11-24 9:06,16-12-31 0:00,Retail Dealer,Clothing/Shoes,D054,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,77,49.28340053,-123.1177513,136,16-06-12
2599339,16-140510,0,Sephora Beauty Canada Inc ,Sephora #528 ,Issued,15-12-15 14:27,16-12-31 0:00,Retail Dealer,Other,D043,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,91,49.28340053,-123.1177513,136,16-06-12
2600869,16-142038,0,Telus Retail Ltd ,TELUS ,Issued,15-11-06 9:42,16-12-31 0:00,Retail Dealer,Kiosk - Temporary,Z009,Unit,700,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,5,49.28224344,-123.1195008,136,16-06-12
2605563,16-146724,0,Nordstrom Canada Retail Inc Les Detaillants Nordstrom Canada Inc ,Habitant ,Issued,15-12-18 12:04,16-12-31 0:00,Restaurant Class 1,With Liquor Service,,,799,ROBSON ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,0,49.28224344,-123.1195008,1069,16-06-12
2621282,16-153901,0,Buy-Low Foods LP ,Meinhardt - Pacific Centre ,Issued,15-11-23 14:34,16-12-31 0:00,Retail Dealer - Grocery,,101,Unit,609,GRANVILLE ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,30,49.28340053,-123.1177513,813,16-06-12
2687030,16-211454,0,Comfortable Image Inc ,Watch It! ,Issued,16-04-05 10:31,16-12-31 0:00,Retail Dealer,Other,D048,Unit,701,W GEORGIA ST,Vancouver,BC,CAN,V7Y 1K8,02-Central Business/Downtown,5,49.28340053,-123.1177513,189,16-06-12
2590546,16-131725,0,98 Corporate Group Resources Ltd ,,Issued,15-12-02 9:34,16-12-31 0:00,Office,Administration,1610,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K4,02-Central Business/Downtown,11,49.28432531,-123.1163832,136,16-06-12
2590967,16-132146,0,James Aaron Richards (James Richards),Slater Vecchio LLP ,Issued,15-12-18 11:11,16-12-31 0:00,Office,Barrister & Solicitor,1800,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K4,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2590968,16-132147,0,(Michael Slater),Slater Vecchio LLP ,Issued,15-12-18 11:11,16-12-31 0:00,Office,Barrister & Solicitor,1800,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K4,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2590969,16-132148,0,(Anthony Vecchio),Slater Vecchio LLP ,Issued,15-12-18 11:11,16-12-31 0:00,Office,Barrister & Solicitor,1800,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K4,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2590970,16-132149,0,James U Buckley (James Buckley),Slater Vecchio LLP ,Issued,15-12-18 11:11,16-12-31 0:00,Office,Barrister & Solicitor,1800,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K4,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2595008,16-136183,0,Saro Turner Law Corporation ,,Issued,15-12-07 9:07,16-12-31 0:00,Office,Barrister & Solicitor,1800,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K4,02-Central Business/Downtown,1,49.28432531,-123.1163832,136,16-06-12
2577289,16-118474,0,(James Intihar),KPMG ,Issued,15-12-23 11:07,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3 ,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577291,16-118476,0,Carlo Bernard Paul De Mello (Carlo De Mello),KPMG ,Issued,15-12-23 11:42,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3 ,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2576926,16-118111,0,(Guy Elliott),KPMG ,Issued,15-12-23 10:02,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,Dunsmuir St,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577010,16-118195,0,(Benita Loughlin),KPMG ,Issued,15-12-23 15:21,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,Dunsmuir St,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577065,16-118250,0,Shaun D Wilson (Shaun Wilson),KPMG ,Issued,15-12-23 14:39,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,Dunsmuir St,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577066,16-118251,0,(Mark Meredith),KPMG ,Issued,15-12-23 15:23,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,Dunsmuir St,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577180,16-118365,0,(John Desjardins),KPMG ,Issued,15-12-23 10:00,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577183,16-118368,0,(Walter Pela),KPMG ,Issued,15-12-23 14:53,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577323,16-118508,0,Jodi Teresa Kelleher (Jodi Kelleher),KPMG ,Issued,15-12-23 15:15,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577325,16-118510,0,Nancy Christina Adie-Mackay (Nancy Adie-Mackay),KPMG ,Issued,15-12-23 11:06,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577406,16-118591,0,Jason Graham Brower (Jason Brower),KPMG ,Issued,15-12-23 11:07,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577407,16-118592,0,Peter Astin Greenwood (Peter Greenwood),KPMG ,Gone Out of Business,,,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,,16-06-12
2577415,16-118600,0,(Michael Glaser),KPMG ,Issued,15-12-23 15:21,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577670,16-118855,0,(John Heskin),KPMG ,Issued,15-12-23 14:18,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577672,16-118857,0,(Erik Niemi),KPMG ,Issued,15-12-23 14:37,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577673,16-118858,0,B Cheng Inc ,KPMG ,Issued,15-12-23 14:54,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577675,16-118860,0,(Janet Mulcaster),KPMG ,Issued,15-12-23 14:56,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577680,16-118865,0,(Robert Owsnett),KPMG ,Issued,15-12-23 11:02,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577687,16-118872,0,Wish Consulting Limited ,KPMG ,Issued,15-12-08 13:48,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,1,49.28432531,-123.1163832,136,16-06-12
2577816,16-119001,0,Christopher Iain Ridley-Thomas (Christopher Ridley-Thomas),KPMG ,Issued,15-12-23 11:44,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,700,49.28432531,-123.1163832,136,16-06-12
2577826,16-119011,0,MWFC Enterprises Inc ,KPMG ,Issued,15-12-23 14:48,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,700,49.28432531,-123.1163832,136,16-06-12
2577855,16-119040,0,(Paul Hiom),KPMG ,Gone Out of Business,,,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,,16-06-12
2577858,16-119043,0,Sean C Duke (Sean Duke),KPMG ,Issued,15-12-23 14:45,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2577862,16-119047,0,Douglas Meredith Ewing (Douglas Ewing),KPMG LLP ,Issued,15-12-23 14:47,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,800,49.28432531,-123.1163832,136,16-06-12
2577863,16-119048,0,Andrew William McClune (Andrew McClune),KPMG LLP ,Issued,15-12-23 14:47,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,800,49.28432531,-123.1163832,136,16-06-12
2577867,16-119052,0,Gordon D Denusik (Gordon Denusik),KPMG LLP ,Issued,15-12-23 15:20,16-12-31 0:00,Financial Services,Accountant/Auditor,900,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K3,02-Central Business/Downtown,800,49.28432531,-123.1163832,136,16-06-12
2590253,16-131432,0,Scott A Griffin Law Corporation ,McCarthy Tetrault LLP ,Issued,15-12-22 9:54,16-12-31 0:00,Office,Barrister & Solicitor,1300,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K2 ,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2590254,16-131433,0,Ted Koffman Law Corporation ,McCarthy Tetrault LLP ,Issued,15-12-22 9:54,16-12-31 0:00,Office,Barrister & Solicitor,1300,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K2,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2590255,16-131434,0,Matthew Peters Law Corporation ,McCarthy Tetrault LLP ,Issued,15-12-22 9:54,16-12-31 0:00,Office,Barrister & Solicitor,1300,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K2,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
2590620,16-131799,0,Cameron Belsher Law Corporation ,McCarthy Tetrault LLP ,Issued,15-12-22 9:54,16-12-31 0:00,Office,Barrister & Solicitor,1300,Unit,777,DUNSMUIR ST,Vancouver,BC,CAN,V7Y 1K2,02-Central Business/Downtown,0,49.28432531,-123.1163832,136,16-06-12
