PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;NOMBRE-VIA;NUM;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD
12427;Mercado municipal de Guzmán el Bueno;En el mercado de Guzmán el Bueno, que en realidad está en la calle Andrés Mellado, se hace la compra y se hacen muchas otras cosas. El mercado, que se inauguró en 1951, abastece de productos frescos al área de Gaztambide, en el distrito de Chamberí, y además funciona como parte viva de un barrio donde el comercio de cercanía es una seña de identidad. Más allá de los abastos, el mercado se confunde con el tejido social y cede sus instalaciones para actuaciones y degustaciones, rutas gastronómicas y visitas escolares. Un colegial observa las evoluciones de un cangrejo vivo en el mostrador de una pescadería, un chulapo y una chulapona bailan un chotis alrededor de un ladrillo y, al fondo, un carnicero despieza una ternera de Ávila. Revestimientos de granito, mostradores de aluminio, buena iluminación y accesibilidad universal son el resultado de una reforma, acometida en 2005, que agrupó los puestos en la planta baja y ubicó un supermercado de la cadena Ahorramás en la primera.;Invierno:   De lunes a viernes: de 9 a 20:30 horas. Sábado: de 9 a 14 horas.     Verano:    De lunes a viernes de 9 a 20:30 horas.    Sábado: de 9 a 14 horas.     Supermercado Ahorramás:  De lunes a sábado: de 9 a 21 horas;;ANDRES MELLADO;43;CHAMBERI;439398;4476280;4.043.495.717.590.030;-37.145.114.819.530.300
4824028;Mercado municipal de Ibiza;El mercado de Ibiza no es una isla y forma parte del tejido comercial del barrio, y del quehacer diario de sus vecinos desde 1954. Situado en la confluencia de Ibiza con la calle Lope de Rueda y a dos pasos del parque del Retiro, es el lugar idóneo para llenar la cesta de la compra o una canasta para el picnic. En 2010 se renovaron totalmente sus instalaciones, lo cual ha facilitado los accesos y ha llenado de luz el espacio. Los puestos del mercado tradicional, agrupados en la planta de arriba, surten de productos frescos -carne y pescado, frutas y verduras, pollería, panadería y bollería- y de chacinas de calidad, variantes y ultramarinos tanto a vecinos del área de Retiro como a los numerosos restaurantes y tascas de la zona. La oferta se completa con un supermercado ubicado en la planta baja.;Invierno:  De lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábados de 9 a 14 horas.    Verano (mayo a octubre, ambos inclusive):  De lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 14 horas.    Supermercado Ahorramas: de lunes a sábado de 9 a 21 horas.;;IBIZA;8;RETIRO;442533;4474392;4.041.817.157.699.020;-3.677.392.762.224.420
12431;Mercado municipal de Jesús del Gran Poder;El mercado de Jesús del Gran Poder está a cuatro pasos del río Manzanares, en el radio de acción del centro cultural El Matadero y en pleno corazón de Usera y rodeado de calles donde vibra el comercio y la actividad. El resultado de este cruce de corrientes de energía es un mercado diferente donde no falta lo imprescindible y hay ocasión para sorprenderse. La oferta en productos frescos se satisface con carnicerías, fruterías, pollerías, charcuterías, panaderías y pescaderías en las que reina la abundancia, y se complementa con una mediana superficie. En el camino entre un puesto y otro, en lugares a veces insospechados, el cliente se encontrará con intervenciones artísticas -enmarcadas en la Exposición Luminaria-, con talleres de cocina o con una venta solidaria de libros de ocasión.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20 horas. Sábados: de 9 a 14:30 horas.    Verano:  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14:30 horas.    Supermercado DIA:  De lunes a sábado: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14 y de 17  a 20 horas.;;JESUS DEL GRAN PODER;42;USERA;440494;4470881;4.038.639.943.136.540;-37.010.971.746.900.300
12425;Mercado municipal de La Guindalera;El mercado de La Guindalera es una plaza de abastos que se asoma a otra plaza, la de San Cayetano, y da de comer a todo un barrio. Setenta años después de su inauguración, y una vez reformado y rehabilitado y con su característica fachada en azul, el mercado combina la tradicional oferta de productos frescos e imprescindibles con otros proyectos que marcan la diferencia, ya sea una tienda de lanas o una chocoteca, un herbolario o un negocio de sushi fusionado con cocina peruana. El mercado, y el propio barrio, toman el nombre de una antigua plantación de guindos y hunde sus raíces en los tiempos en los que Madrid y su ensanche eran zona de huerta. Las guindas siguen siendo parte de la imagen corporativa del mercado, que ha encontrado en las actividades más diversas una seña de identidad y una forma de conectar con el entorno: un pasacalles o una coral, una compañía de bailes goyescos o una degustación de repostería. Además de los puestos dedicados a llenar la nevera y la despensa de los vecinos de La Guindalera y alrededores, en sus pasillos y en el exterior se distribuyen otros comercios donde se vende ropa y complementos, se arreglan zapatos y se copian llaves, así como una cafetería.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20 horas. Sábado: de 9 a 14 horas.    Verano (de junio a octubre, ambos inclusive):  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábado: de 9 a 14 horas.;Dispone de acceso para  personas con movilidad y baños adaptados.;ERASO;14;SALAMANCA;443083;4476157;4.043.410.047.219.340;-3.671.056.299.540.890
12451;Mercado municipal de Las Ventas;"En el mercado de Las Ventas -más de cien locales repartidos en 2.000 metros cuadrados- todo se hace a lo grande. Cuenta con una de las lonjas más pujantes de España en la planta baja y la carne se ha hecho fuerte en la primera. El mercado, espacioso y accesible, se mantiene como una referencia obligada tanto para los clientes gourmet como para compradores &amp;ldquo;de diario&amp;rdquo; y para restaurantes de toda la ciudad de Madrid. Sin descuidar los frescos imprescindibles -fruta y verduras, pollerías, queserías y panaderías- el tejido comercial del mercado se ha enriquecido con una oferta de ocio y restauración -cervecerías, vinotecas, cocina internacional, tapas de autor- que lo convierten en un enclave vivo y singular. Está equipado con cajeros automáticos y total accesibilidad a sus instalaciones, un gimnasio y un supermercado.";Mercado:   Lunes a viernes:  de 9 a 14 y de 17 a 20 horas. de 17:30 a 20:30 horas del 1 de junio al 15 de septiembre, ambos inclusive.    Sábados: de 9 a 15 horas.    Parking:   Lunes a viernes: de 7 a 23:30 horas.  Sábados: de 9 a  22 horas.  Domingos: de 9 a 15:30 horas.;Dispone de wifi gratuita.;VIRGEN DE LA ALEGRIA;10;CIUDAD LINEAL;444282;4476082;4.043.351.496.197.300;-36.569.261.794.988.000
12423;Mercado municipal de Las Águilas;Todo lo que ocurre en el Barrio de Las Águilas pasa por su mercado, que es plaza de abastos y es también punto de encuentro para los vecinos, lugar de paso y el sitio donde quedarse a pasar la tarde. Este mercado, que se levantó en 1979 al calor del desarrollo residencial de la zona, mantiene la pujanza comercial y se ha convertido en una referencia para los nuevos residentes del cercano PAU de Carabanchel, que acuden atraídos por la comodidad de las instalaciones -renovadas recientemente- y por las facilidades de aparcamiento en la zona. Una vez dentro, lo que manda en Las Águilas es el producto y lo variado de la oferta. Decenas de puestos de venta, con excelentes establecimientos de alimentación tradicional (carnicerías, pescaderías, pollerías, fruterías) complementan su oferta con algunos puestos y tiendas exteriores especializados en comercio no alimentario (textil, joyería, equipamiento de hogar, peluquería) y hostelería.  Además, en la planta superior del edificio del mercado, la Asociación de Vecinos Las Águilas despliega una intensa actividad: talleres, actividades culturales, una radio local y servicio de asesoramiento legal.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20 horas. Sábado: de 9 a 14 horas.    Verano (junio a septiembre, ambos inclusive):  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14 horas.;;BLAS CABRERA;125;LATINA;434775;4469966;4.037.771.961.975.460;-37.683.778.002.246.600
12406;Mercado municipal de Los Mostenses;A espaldas de la Gran Vía, y dentro de un edificio de aire racionalista, habita un mercado que se ha hecho grande de manera natural. El mercado de los Mostenses es un organismo vivo donde se alterna lo imprescindible -una amplia oferta en productos frescos a precios muy competitivos- con lo imprevisible: un colmado de productos coreanos, una zurcidora china o un dispensario de caviar iraní. Repartidos en tres plantas o ubicados a pie de calle, los más de cien puestos del mercado abarcan un espectro amplísimo del negocio alimentario -con nutrida representación de la gastronomía latinoamericana y oriental- y ofrecen servicios variados -peluquería, reprografía, floristería-, además de contar con una planta reservada para oficinas. La historia del mercado discurre paralela a la de la propia Gran Vía. Antes de la inauguración del edificio actual, el mercado había conocido otra ubicación cercana, en el solar sobre el que luego se levantaría el cine Azul. La piqueta se llevó por delante el viejo mercado de Los Mostenses, durante la construcción del tercer tramo de la Gran Vía (1925), y hubo que esperar a 1946 para que la plaza volviera a tener su central de abastos.;Invierno:  De lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábados de 9 a 14 horas.    Verano (del 15 de junio al 15 de septiembre):  De lunes a jueves de 9 a 14 y de 17:30 a 20 horas. Viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 14 horas.;;MOSTENSES;1;CENTRO;439862;4474976;40.423.243.776.104;-37.089.296.405.152.100
12402;Mercado municipal de Maravillas;El Mercado de Maravillas no se acaba nunca. Todo cabe en este mercado grande, tendente a infinito. El trasiego incesante de sus pescaderías cuadrangulares -atienden por los cuatro costados- y el bullicio de las fruterías donde caben hectáreas de huerta alternan con pequeñas cafeterías y tiendas minúsculas. En su interior cabe un mundo, y en los contornos de ese mundo destaca la cubierta en forma de dientes de sierra -una luz cenital se cuela por los enormes ventanales- y la fachada en ladrillo visto con marquesina de hormigón en voladizo. El mercado cuenta con dos parkings con capacidad para más de 350 vehículos, accesos por cuatro puntos (Bravo Murillo, Hernani, Palencia y por la plaza Condesa de Gavia), ascensores, rampas de servicio, cajero automático, calefacción y aire acondicionado. En un lugar tan enorme como el Mercado de Maravillas, también hay sitio para proyectos ecosostenibles: parte de la energía eléctrica del mercado proviene de acumuladores de placas solares situados en su tejado.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20 horas. Sábado: de 9 a 15 horas.    Verano (de junio a octubre, ambos inclusive):  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 15 horas.;Dispone de wifi gratuita.;BRAVO MURILLO;122;TETUAN;440347;4477839;40.449.060.922.663.600;-37.034.696.566.148.400
12407;Mercado municipal de Mediodía - Entrevías;El mercado Mediodía-Entrevías mira hacia dentro y mira hacia afuera. Dentro hay una mediana superficie donde los vecinos pueden proveerse de todo lo necesario para llenar despensas y neveras -frutas y verduras, carnicería y pollería, pescaderías y ultramarinos en general-. Fuera, es decir, en el cinturón de locales con salida a la calle, hay una tienda de ropa deportiva y una lencería, dos sucursales bancarias, una casa de electrodomésticos y, también, un restaurante especializado en kebabs.;De lunes a sábados de 9 a 21 horas.;;"CAMPI&amp;Ntilde;A";5;PUENTE DE VALLECAS;443191;4469963;4.037.831.782.244.750;-36.692.420.255.769.200
12436;Mercado municipal de Moratalaz;El Mercado de Moratalaz es nuevo otra vez, y esto tiene que ver con los cambios y mejoras derivados de su exhaustiva remodelación -accesos cómodos, calles anchas y más luminosidad- y con el espíritu que sobrevuela las instalaciones. La experiencia se combina con el entusiasmo, tanto detrás de los mostradores como en la gestión del centro, y el resultado es una plaza donde se explotan las posibilidades de un mercado tradicional con aires renovados. Una feria de artesanía, un espectáculo de microdanza o un taller de cocina para aprender a hacer paté de mejillones son algunas de las cosas que ocurren aquí dentro, entre carnicerías y pescaderías, junto a la frutería o frente a la tienda de congelados. A la completa oferta de puestos especializados en productos frescos, se ha incorporado una mediana superficie, que junto a locales especializados en otros servicios -papelería, bazar, cafetería- hacen del mercado de Moratalaz un placer necesario.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20 horas. Sábados: de 9 a 14 horas.     Verano:  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14 horas.    Supermercado LIDL: de lunes a sábado de 9 a 21 horas.;Dispone de wifi gratuita.;CAÑADA;17;MORATALAZ;445233;4472902;4.040.493.085.829.730;-3.645.440.746.968.980
12435;Mercado municipal de Numancia;En un barrio de muchas casas, de muchas cosas y de mucha gente, como es el Puente de Vallecas, hay un mercado, el de Numancia, donde mucha gente encuentra lo que busca: ternera de Ávila, merluza del Cantábrico, higos de temporada o patata limpia y cepillada. El producto fresco, el precio competitivo y la experiencia al otro lado del mostrador son, junto a las instalaciones totalmente renovadas, las grandes bazas del mercado tradicional, que se concentra en la planta baja. La oferta de servicios se completa con un gran bazar, ubicado en la planta primera, y con un cinturón de bares y tiendas con salida a la calle. Situado junto a la plaza de Mariana Pineda, abundante y arbolada, y casi a un costado -a una manzana- del estadio del Rayo Vallecano y de la pujante Avenida del Mediterráneo, el mercado de Numancia es una pieza indispensable para el funcionamiento de esa gran máquina de vida civil, actividad y comercio que es Vallecas.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20 horas. Sábados: de 9 a 14 horas.    Verano (mayo a septiembre, ambos inclusive):  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14 horas.;;JOSEFA DIAZ;4;PUENTE DE VALLECAS;444159;4471630;40.393.391.586.979.900;-36.579.853.920.414.500
12430;Mercado municipal de Orcasitas;El Mercado de Orcasitas ocupa toda una manzana y hace más de cincuenta años que forma parte fundamental de la vida del barrio. Ha pasado el tiempo, y ha sido para mejor: en 2009 se renovó por dentro y por fuera y se convirtió en lo que es ahora, un espacio cómodo y accesible, moderno y luminoso, donde se llena la cesta de la compra y se hacen más cosas. Además de la completa oferta en productos frescos y de alimentación en general, de la que se ocupan los puestos tradicionales y un supermercado de medianas dimensiones, el mercado ofrece servicios de peluquería y reparación de calzado, así como tiendas de ropa, una ferretería y una asesoría.;Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20:30 horas. Sábados: de 9 a 14 horas.    Verano:   De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14 horas.    Supermercado Mercadona:  De lunes a sábados: de 9:15 a 21:15 horas;;VILLABONA;2;USERA;439392;4469154;40.368.880.585.172.400;-3.715.179.497.757.880
12394;Mercado municipal de Pacífico;Verdura de temporada, carne al corte, sardinas limpias y desescamadas. Degustaciones de fruta, pliegos de ofertas de temporada, barriles de cerveza artesana. Todo está aquí, en el mercado de Pacífico, que desde 1959 da servicio al distrito de Retiro. Situado en el centro del triángulo que forman Doctor Esquerdo, Ciudad de Barcelona y Avenida del Mediterráneo, el mercado de Pacífico se ha aclimatado a los nuevos tiempos y ofrece, después de una exhaustiva rehabilitación acometida en 2014, la combinación que mejor resulta en una plaza de abastos: modernidad y tradición, experiencia e imaginación. La variada oferta en puestos dedicados al producto fresco -carnicerías, pescaderías, fruterías y verdulerías, charcuterías y pollerías- se ensancha con nuevos proyectos -una floristería, una dulcería con sabor italo-argentino- y con la aportación de un supermercado de tamaño medio ubicado en la planta alta.;Invierno:  De lunes a viernes: de 9 a 14:15 y de 17 a 20:15 horas. Sábados: de 9 a 14:15 horas.    Verano:  De lunes a viernes: de 9 a 14:15 y de 17:30 a 20:30 horas. Sábados: de 9 a 14:15 horas.;;VALDERRIBAS;30;RETIRO;442677;4472855;4.040.433.546.207.180;-36.755.452.423.143.400
12412;Mercado municipal de Prosperidad;El mercado de Prosperidad no sólo se reinventa, también se retroalimenta. Más de sesenta años después de abrir sus puertas, y después de un proceso de renovación que se ha traducido en luz, espacio y comodidad, el mercado ha encontrado un nuevo sentido en la combinación de la tradicional oferta de una plaza de abastos -producto fresco, calidad contrastada y precios interesantes- con el espíritu gourmet de nuevas propuestas. Lo esencial y lo excelente conviven y alternan, ya sea en el mostrador de una verdulería o en la barra de una taberna con pinchos de autor. Unos puestos llaman a otros, y todos llaman al cliente. Asomado a la plaza de Prosperidad, y con salida a la caudalosa calle de López de Hoyos, el mercado, que cuenta con el complemento de una mediana superficie, es un lugar al que ir para hacer la compra y, también, un lugar para permanecer y empaparse de vida de barrio.;Invierno  De lunes a viernes de 9 a 14 y de 17 a 20:30 horas. Sábados de 9 a 14:30 horas.    Verano:  De lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 14:30 horas.;Dispone de wifi gratuita.;LOPEZ DE HOYOS;81;CHAMARTIN;442833;4477298;404.443.619.472.988;-3.674.118.079.721.270
