HOUSE,STREET,POSTAL_CODE,PID,ZONE_CODE,LONGITUDE,LATITUDE
9904,132 St,V3T 3S8,28162960,RF-SD,-122.8563468,49.18264509
9905,132A St,V3T 5E8,5122511,RF,-122.8554502,49.18269334
9905,King George Blvd,V3T 2V8,9921150,C-35,-122.8457886,49.18246817
9906,132A St,V3T 5E9,5122627,RF,-122.8550335,49.182718
9906,138 St,V3T 4K2,10133542,RF,-122.8393842,49.182606
9907,138 St,V3T 5E3,1649868,RM-D,-122.8398247,49.18260958
9908,138A St,V3T 4L1,9314784,RF,-122.8381,49.18251765
9909,133 St,V3T 5G1,5122741,RF,-122.8542118,49.1827076
9909,133A St,V3T 5G4,5121671,RF,-122.8527946,49.18278881
9910,132 St,V3T 3S8,28162951,RF-SD,-122.8563389,49.18272184
9910,133 St,V3T 5G1,5122775,RF,-122.8535616,49.18270137
9912,132 St,V3T 3S8,28162943,RF-SD,-122.8563343,49.18279429
9912,133A St,V3T 5G6,5121876,RF,-122.8523757,49.18275076
9913,132A St,V3T 5E8,5122554,RF,-122.8554431,49.18285777
9913,134 St,V3T 5G8,5122406,RF,-122.851559,49.18274484
9914,132A St,V3T 5E9,5122571,RF,-122.855026,49.18289673
9914,138A St,V3T 4L1,9314768,RF,-122.8380872,49.18273603
9916,138 St,V3T 4K2,10133534,RF,-122.8393746,49.18277033
9917,133A St,V3T 5G4,570559,RF,-122.852794,49.18296997
9917,138A St,V3T 4K9,487295,RF,-122.8385302,49.18274782
9918,132 St,V3T 3S8,28162935,RF-SD,-122.8563311,49.18286857
9919,133 St,V3T 5G1,2603080,RF,-122.8540008,49.1827658
9919,138 St,V3T 5E3,689793,RF,-122.8398118,49.1828286
9919,140 St,V3T 4M4,31078834,CD,-122.8345424,49.18271592
9920,132 St,V3T 3S8,28162927,RF-SD,-122.8563216,49.18293932
9920,133A St,V3T 5G6,5121841,RF,-122.8523681,49.1829222
9921,132A St,V3T 5E8,5122589,RF,-122.8554362,49.18302228
9921,134 St,V3T 5G8,5122457,RF,-122.851561,49.18291378
9925,133A St,V3T 5G4,660558,RF,-122.8527862,49.18315572
9926,133 St,V3T 5G1,5122767,RF,-122.8537696,49.18276298
9926,138 St,V3T 4K2,5110955,RF,-122.8393649,49.18293457
9927,138A St,V3T 4K9,8140464,RF,-122.8385147,49.18296314
9928,132 St,V3T 3S8,5121647,RF,-122.8563273,49.18306891
9928,133A St,V3T 5G6,5121809,RF,-122.8523747,49.18308188
9928,138A St,V3T 4L1,9314750,RF,-122.8380742,49.18295775
9929,132A St,V3T 5E8,1686119,RM-D,-122.8554278,49.18321882
9929,134 St,V3T 5G8,1996614,RF,-122.8515629,49.18308272
9933,133A St,V3T 5G4,2323010,RF,-122.8528023,49.18332339
9934,133A St,V3T 5G6,1656775,RM-D,-122.8523749,49.18327159
9934,138 St,V3T 4K2,10133526,RF,-122.8393552,49.1830989
9935,134 St,V3T 5G8,1654136,RM-D,-122.8515652,49.1832843
9935,138 St,V3T 5E3,1503961,RM-D,-122.8397723,49.18311532
9938,132 St,V3T 3S8,5121621,RF,-122.8563197,49.18324665
9938,138A St,V3T 4L1,9314725,RF,-122.838061,49.18318279
9941,133A St,V3T 5G4,5121710,RF,-122.8529159,49.18354781
9941,138A St,V3T 4K9,9314679,RF,-122.8385015,49.18318818
9943,134 St,V3T 5G8,1654268,RM-D,-122.8515586,49.18352645
9944,133A St,V3T 5G6,5121752,RF,-122.852351,49.18357155
9946,138 St,V3T 4K2,10133518,RF,-122.8393456,49.18326314
9947,133A St,V3T 5G4,1791753,RM-D,-122.8527778,49.18366466
9951,134 St,V3T 5G8,1654497,RM-D,-122.8517085,49.18385273
9952,133A St,V3T 5G6,5121736,RF,-122.8525189,49.1836601
9954,138 St,V3T 4K2,10133470,RF,-122.8393358,49.18342747
9954,138A St,V3T 4L1,9314644,RF,-122.8380479,49.18340793
9955,138A St,V3T 4K9,9314652,RF,-122.8384883,49.18341332
9961,140 St,V3T 4M4,5650402,RF,-122.8344954,49.18326054
9964,138 St,V3T 4K2,10133461,RF,-122.8393261,49.18359171
9968,138A St,V3T 4L1,9314610,RF,-122.8380352,49.18363603
9969,138A St,V3T 4K9,2847523,RF,-122.8384822,49.18363198
9974,138 St,V3T 4K2,2375044,RF,-122.8393165,49.18375604
9980,132 St,V3T 3T1,10556079,RF,-122.856309,49.18402303
9985,138A St,V3T 4K9,9314580,RF,-122.8384367,49.18404171
9990,138 St,V3T 4K2,10133437,RF,-122.8392951,49.18405809
10010,132A St,V3T 5B3,10070508,RF,-122.8551151,49.18471174
10014,132 St,V3T 3T3,1868713,RM-D,-122.856348,49.18470885
10015,132A St,V3T 3X6,7182228,RF,-122.8554338,49.18472132
10024,Whalley Blvd,V3T 4E9,10142797,RF,-122.8430127,49.18480751
10027,137A St,V3T 4J4,9894128,RF,-122.8419468,49.18479453
10028,132 St,V3T 3T3,7120311,RF,-122.856277,49.1848636
10029,140 St,V3T 4M6,10133364,RF,-122.8343916,49.18474855
10031,132A St,V3T 3X6,7182236,RF,-122.855468,49.18496496
10034,132A St,V3T 5B3,10070591,RF,-122.8551024,49.18510086
10036,King George Blvd,V3T 2W4,774308,C-8,-122.8449968,49.18503324
10036,Whalley Blvd,V3T 4E9,10142819,RF,-122.8430127,49.18496961
10037,137A St,V3T 4J4,10176152,RF,-122.8419615,49.18494433
10040,132 St,V3T 3T3,7182244,RF,-122.85628,49.18508283
10043,132A St,V3T 3X6,7182252,RF,-122.8554639,49.1851678
10052,132 St,V3T 3T3,7182279,RF,-122.8562752,49.18530932
10053,132A St,V3T 3X6,7182261,RF,-122.8554604,49.18535966
10054,Whalley Blvd,V3T 4E9,10142860,RF,-122.8430129,49.1852938
10055,133 St,V3T 3Y6,9525246,RF,-122.8541391,49.18559663
10056,133 St,V3T 3Y5,10070656,RF,-122.8538214,49.18541758
10057,137A St,V3T 4J4,10535853,RM-D,-122.8419514,49.18528191
10060,132A St,V3T 4Y9,7277407,RF,-122.8550716,49.18545398
10060,King George Blvd,V3T 2W4,6566910,C-8,-122.8450716,49.18536695
10061,140 St,V3T 4M8,2856956,RF,-122.8343896,49.18528943
10063,Whalley Blvd,V3T 4G1,6566880,C-8,-122.8434663,49.1853886
10064,Whalley Blvd,V3T 4E9,4780469,RF,-122.843013,49.1854559
10066,132 St,V3T 3T3,24273724,RF,-122.8562607,49.18555452
10067,132A St,V3T 3X6,24273732,RF,-122.8554569,49.18554433
10068,133 St,V3T 3Y5,3405907,RF,-122.8538089,49.18563867
10070,132A St,V3T 4Y9,4461398,RF,-122.8550674,49.18565988
10070,King George Blvd,V3T 2W4,8615144,C-8,-122.8451303,49.18550591
10071,140 St,V3T 4M8,10261711,RF,-122.834389,49.1854669
10073,137A St,V3T 4J4,5561060,RF,-122.8419482,49.18559611
10073,Whalley Blvd,V3T 4G1,8615179,C-8,-122.8434245,49.18545711
10074,Whalley Blvd,V3T 4E9,4780477,RF,-122.8430487,49.18561795
10077,133 St,V3T 3Y6,10070648,RF,-122.8541412,49.18580263
10078,133 St,V3T 3Y5,2215501,RF,-122.8537969,49.18583043
10080,132A St,V3T 4Y9,7511272,RF,-122.8550632,49.18586578
10080,Whalley Blvd,V3T 4E9,3987035,RF,-122.8430132,49.18578
10081,140 St,V3T 4M8,2272539,RF,-122.8344377,49.18563598
10083,137A St,V3T 4J4,11523573,RF,-122.8419514,49.1857609
10085,133 St,V3T 3Y6,10070621,RF,-122.8542771,49.18598604
10088,133 St,V3T 3Y5,10070664,RF,-122.8537205,49.18598695
10088,Whalley Blvd,V3T 4E9,4027540,RF,-122.8430132,49.185942
10089,137A St,V3T 4J4,10176161,RF,-122.8419585,49.18593326
10090,132A St,V3T 4Y9,10070605,RF,-122.8550591,49.18607168
10090,King George Blvd,V3T 2W4,636070,CHI,-122.8451124,49.18593681
10091,140 St,V3T 4M8,1210106,RF,-122.8343723,49.1858597
10095,133 St,V3T 3Y6,3671992,RF,-122.8541404,49.18612169
10095,Whalley Blvd,V3T 4G1,636088,C-8,-122.8434812,49.18594714
10098,133 St,V3T 3Y5,5923344,RF,-122.8539385,49.18611541
10100,King George Blvd,V3T 2W4,550728,C-8,-122.8451066,49.18618314
10120,King George Blvd,V3T 2W4,11126540,CHI,-122.8451055,49.18643798
10136,King George Blvd,V3T 2W4,24850268,CHI,-122.8450422,49.18671798
10138,Whalley Blvd,V3T 4G2,8665397,RM-45,-122.8430108,49.18675536
10151,King George Blvd,V3T 5H9,4513011,C-8,-122.8464032,49.18696366
10153,King George Blvd,V3T 5H9,8541159,C-8,-122.8474019,49.18559446
10155,King George Blvd,V3T 5H9,1445324,C-8,-122.8457846,49.18693925
10162,137A St,V3T 5C4,2174324,RF,-122.8410093,49.18718301
10166,King George Blvd,V3T 2W4,3710386,C-8,-122.8451062,49.18721788
10167,133 St,V3T 3Y8,9925678,RF,-122.8545448,49.18744228
10189,133 St,V3T 3Y8,9925694,RF,-122.8545402,49.18782701
10190,King George Blvd,V3T 2W4,10071466,C-8,-122.8450708,49.18759447
10194,133 St,V3T 3Y7,4296770,RF,-122.854112,49.18788394
10198,132 St,V3T 3T7,1825771,RF,-122.8562609,49.18802276
10199,133 St,V3T 3Y8,9925716,RF,-122.8545359,49.18800646
10206,133 St,V3T 3Y7,6609376,RF,-122.854107,49.18808121
10208,132 St,V3T 3T7,9979131,RF,-122.856275,49.18819953
10209,133 St,V3T 3Y8,8480052,RF,-122.8545315,49.188186
10210,133A St,V3T 3Z9,494232,RF,-122.851854,49.18819148
10210,King George Blvd,V3T 2W5,11126396,CG-1,-122.8451503,49.18811676
10213,140 St,V3T 4N1,10179615,RF,-122.8344019,49.18795284
10217,133 St,V3T 3Y8,1166298,RF,-122.854527,49.18836554
10218,132 St,V3T 3T7,10311041,RF,-122.8562572,49.18837276
10218,133 St,V3T 3Y7,6609368,RF,-122.8541022,49.18827847
10220,133A St,V3T 3Z9,8900981,RF,-122.8518418,49.18834393
10223,140 St,V3T 4N1,2626772,RF,-122.8343996,49.18817214
10225,139A St,V3T 4M1,11425784,RF,-122.8359477,49.18821296
10227,King George Blvd,V3T 2W6,5210232,C-8,-122.8457129,49.18849999
10230,133 St,V3T 3Y7,6609341,RF,-122.8540974,49.18847573
10230,133A St,V3T 3Z9,4836588,RF,-122.8519198,49.18860409
10232,Whalley Blvd,V3T 4H2,8538051,C-8,-122.8422758,49.18867564
10233,139A St,V3T 4M1,11425806,RF,-122.8359442,49.18837999
10233,140 St,V3T 4N1,1146459,RF,-122.8343987,49.18835294
10239,139A St,V3T 4M1,11425822,RF,-122.8359407,49.18854703
10240,City Parkway,V3T 4C2,8517169,C-8,-122.8474146,49.18858658
10240,King George Blvd,V3T 2W5,1659502,CHI,-122.8450035,49.18861011
10241,King George Blvd,V3T 2W6,7362765,C-8,-122.8457441,49.1889026
10242,133 St,V3T 3Y7,6672876,RF,-122.8540815,49.18862944
10243,140 St,V3T 4N1,10179585,RF,-122.8343978,49.18853375
10247,139A St,V3T 4M1,2360551,RF,-122.8359175,49.18871395
10251,140 St,V3T 4N1,10179551,RF,-122.8343969,49.18871455
10252,City Parkway,V3T 4C2,2334038,C-8,-122.8473918,49.18909542
10257,133 St,V3T 3Y9,10519459,RF,-122.8545371,49.18906981
10259,139A St,V3T 4M1,11425865,RF,-122.8359212,49.18888681
10261,140 St,V3T 4N1,10179542,RF,-122.8343959,49.18889535
10262,133A St,V3T 4A2,10985841,RF,-122.851907,49.18912536
