longitude,latitude,StationID,Power,Quality,num_measures,Code,recorded_tstamp
-123.153109,49.25901,31318,-36.5284,-7.8468,5,ABC3130431318,06-DEC-2021 18:02:45
-123.133335,49.257905,36065,-84.686,-11.9431,2,ABD3605136065,04-DEC-2021 20:25:08
-123.150208,49.272393,30486,-59.4069,-7.5159,1,ABC304730486,04-DEC-2021 16:12:48
-123.135955,49.271361,10720,-53.8085,-5.0284,4,ABC1070610720,06-DEC-2021 21:26:33
-123.176188,49.271166,36505,-74.5993,-7.6639,1,ABD3649136505,05-DEC-2021 16:42:27
-123.120644,49.284126,31076,-75.04,-17.5117,3,ABC310631076,03-DEC-2021 15:19:29
-123.087248,49.258784,1210,-75.4717,-11.8207,4,ABC011961210,04-DEC-2021 16:09:23
-123.093534,49.273738,6566,-71.5844,-18.4105,1,ABD06556566,02-DEC-2021 23:36:59
-123.096247,49.259926,30598,-64.4251,-8.262,1,ABC3058430598,05-DEC-2021 19:28:48
-123.082884,49.27326,30738,-57.4939,-12.0684,1,ABC3072430738,01-DEC-2021 23:22:01
-123.131294,49.265192,823,-71.5073,-12.7652,67,ABC00809823,07-DEC-2021 20:22:44
-123.117643,49.259439,31046,-63.3933,-18.3532,2,ABC310331046,01-DEC-2021 18:04:09
-123.160153,49.261116,36975,-71.0456,-14.4921,3,ABD3696136975,04-DEC-2021 13:49:43
-123.113531,49.279523,1333,-70.1636,-15.3092,1,ABC013191333,04-DEC-2021 01:39:07
-123.090285,49.257916,36241,-74.0084,-11.3511,1,ABD3622736241,03-DEC-2021 14:02:29
-123.171137,49.266415,850,-71.031,-11.6171,3,ABC00836850,07-DEC-2021 14:30:01
-123.165336,49.262235,6352,-99.7024,-17.9676,1,ABD063386352,07-DEC-2021 21:06:18
-123.106393,49.269271,6356,-86.6762,-7.9907,3,ABD06346356,07-DEC-2021 18:18:25
-123.121493,49.286046,36017,-51.8472,-17.8183,3,ABD3600336017,01-DEC-2021 19:51:28
-123.182784,49.264316,35235,-89.0403,-16.5481,1,ABD3522135235,07-DEC-2021 18:16:44
-123.090549,49.259728,36466,-61.8754,-5.8001,2,ABD364536466,04-DEC-2021 16:30:25
-123.154635,49.261503,30107,-72.1655,-20.3261,1,ABC3009330107,07-DEC-2021 15:58:50
-123.094922,49.262537,1398,-56.7257,-22.9786,1,ABC013841398,06-DEC-2021 13:59:10
-123.170761,49.271078,43117,-60.0635,-10.2445,3,ABD4310343117,03-DEC-2021 14:00:35
-123.155275,49.264458,823,-67.0253,-10.3409,4,ABC00809823,07-DEC-2021 18:54:27
-123.105941,49.257574,36465,-87.8196,-17.2025,1,ABD3645136465,03-DEC-2021 15:17:44
-123.088892,49.284788,1359,-64.5952,-3.6983,1,ABC013451359,07-DEC-2021 18:21:55
-123.093041,49.259384,36243,-75.2737,-11.3382,1,ABD3622936243,03-DEC-2021 14:47:09
-123.108489,49.282226,6402,-95.16,-16.0126,1,ABD063886402,07-DEC-2021 18:28:07
-123.170683,49.261413,32056,-68.8472,-14.6381,2,ABC320432056,03-DEC-2021 15:08:54
-123.135995,49.266276,31952,-28.4729,-3.919,14,ABC3193831952,07-DEC-2021 20:09:36
-123.095582,49.276712,1716,-61.2677,-21.536,1,ABC01701716,01-DEC-2021 17:23:47
-123.083345,49.271135,31978,-79.7855,-23.6781,1,ABC3196431978,04-DEC-2021 13:48:14
-123.102766,49.282343,32177,-73.8182,-18.7757,1,ABC3216332177,07-DEC-2021 14:22:54
-123.080652,49.261457,31376,-62.3194,-10.687,3,ABC313631376,03-DEC-2021 13:32:15
-123.133905,49.267742,31888,-77.3041,-8.0587,2,ABC3187431888,05-DEC-2021 20:47:04
-123.136998,49.309673,31166,-72.281,-14.4265,3,ABC311531166,01-DEC-2021 22:04:57
-123.087473,49.26522,40279,-78.7765,-23.2967,1,ABC4026540279,05-DEC-2021 15:03:32
-123.125669,49.258702,5257,-55.2739,-6.5559,3,ABD052435257,02-DEC-2021 00:15:33
-123.128472,49.290421,1419,-75.8448,-16.8849,3,ABC014051419,06-DEC-2021 01:29:41
-123.08723,49.259616,455,-61.9368,-12.8643,2,ABC00441455,06-DEC-2021 20:17:30
-123.105723,49.26469,31380,-54.0055,-13.9791,13,ABC3136631380,03-DEC-2021 13:30:44
-123.08,49.287487,35492,-89.1518,-19.0271,1,ABD3547835492,04-DEC-2021 16:14:26
-123.185603,49.271269,50195,-75.5004,-13.709,1,ABD5018150195,05-DEC-2021 21:05:53
-123.127891,49.267941,40189,-67.2379,-18.133,2,ABC4017540189,07-DEC-2021 14:51:57
-123.132975,49.26442,35437,-67.2514,-12.8258,27,ABD3542335437,02-DEC-2021 22:14:17
-123.174194,49.270228,15085,-79.2781,-22.2794,1,ABD1507115085,03-DEC-2021 17:06:57
-123.164573,49.266759,31765,-58.1802,-17.9068,33,ABC3175131765,01-DEC-2021 22:28:08
-123.164753,49.269207,35956,-83.7892,-15.9632,1,ABD359435956,03-DEC-2021 17:50:50
-123.13783,49.293751,35575,-87.1747,-21.2298,1,ABD3556135575,05-DEC-2021 17:01:14
-123.084544,49.265814,1478,-70.2966,-16.2787,4,ABC014641478,07-DEC-2021 01:23:54
-123.106499,49.277766,1716,-83.2757,-11.5106,2,ABC01701716,04-DEC-2021 14:15:33
-123.124013,49.279894,6015,-69.1914,-20.1698,1,ABD060016015,02-DEC-2021 19:06:24
-123.124578,49.284445,1397,-63.28,-18.2964,2,ABC013831397,07-DEC-2021 14:51:03
-123.080149,49.258739,5861,-98.0409,-14.2083,1,ABD058475861,02-DEC-2021 23:34:08
-123.138638,49.293221,1479,-74.6391,-18.5731,2,ABC014651479,07-DEC-2021 01:18:50
-123.086751,49.262455,10687,-72.6704,-18.2347,2,ABC1067310687,04-DEC-2021 16:25:32
-123.078653,49.274378,6571,-72.8735,-20.4656,1,ABD065576571,08-DEC-2021 22:43:48
-123.1028,49.266834,31888,-74.5199,-14.2858,2,ABC3187431888,05-DEC-2021 20:48:01
-123.123277,49.288955,5861,-104.0039,-21.0805,1,ABD058475861,07-DEC-2021 21:11:52
-123.166497,49.263906,287,-66.7814,-11.1706,3,ABC00273287,05-DEC-2021 22:26:19
-123.128801,49.274105,35251,-91.9267,-20.7883,2,ABD3523735251,06-DEC-2021 20:44:34
-123.090725,49.281171,31146,-66.7791,-20.5469,3,ABC311331146,01-DEC-2021 20:06:23
-123.125557,49.283669,35577,-88.0479,-19.2691,2,ABD3556335577,05-DEC-2021 17:00:12
-123.129031,49.260617,31990,-79.4489,-16.3838,1,ABC3197631990,05-DEC-2021 21:09:02
-123.130682,49.274427,30036,-68.6912,-18.5085,1,ABC30030036,07-DEC-2021 18:32:56
-123.130876,49.297948,35437,-79.5153,-17.5162,1,ABD3542335437,05-DEC-2021 16:30:50
-123.111723,49.280345,5636,-60.7547,-20.3061,1,ABD0565636,02-DEC-2021 18:56:52
-123.114979,49.26009,31509,-56.4857,-5.5315,2,ABC3149531509,05-DEC-2021 18:49:50
-123.166306,49.263525,31719,-61.8105,-20.3444,13,ABC3170531719,06-DEC-2021 17:43:53
-123.127469,49.261533,1399,-65.2031,-8.04,3,ABC013851399,07-DEC-2021 14:35:01
-123.136447,49.268755,37067,-71.0917,-14.3484,1,ABD3705337067,01-DEC-2021 17:23:51
-123.089848,49.285211,5642,-75.3993,-16.6185,1,ABD056285642,04-DEC-2021 20:20:58
-123.137799,49.265336,40126,-66.463,-12.3886,3,ABC401140126,07-DEC-2021 14:14:00
-123.114086,49.273795,31139,-44.4122,-9.7608,3,ABC3112531139,03-DEC-2021 00:54:12
-123.132696,49.273709,830,-72.6309,-17.8434,1,ABC00816830,04-DEC-2021 01:39:32
-123.091251,49.281181,30266,-56.9503,-4.5841,6,ABC302530266,06-DEC-2021 13:41:47
-123.143543,49.262712,1360,-83.4426,-13.7668,3,ABC013461360,07-DEC-2021 18:28:22
-123.145723,49.264662,31468,-61.0928,-7.8263,1,ABC3145431468,04-DEC-2021 16:31:28
-123.129701,49.261569,36015,-76.7085,-18.6076,2,ABD3600136015,08-DEC-2021 22:25:08
-123.162205,49.269337,1207,-71.2087,-19.8911,1,ABC011931207,01-DEC-2021 17:41:19
-123.145178,49.306522,6476,-60.2704,-16.6606,9,ABD06466476,07-DEC-2021 01:21:36
-123.103504,49.262054,30235,-73.3191,-19.2208,1,ABC3022130235,04-DEC-2021 16:15:24
-123.151184,49.262834,36613,-75.6139,-6.4637,1,ABD3659936613,01-DEC-2021 21:15:52
-123.167256,49.271801,598,-69.5939,-18.5138,1,ABC00584598,05-DEC-2021 17:27:12
-123.146738,49.261843,30339,-57.8812,-20.8083,2,ABC3032530339,02-DEC-2021 00:23:46
-123.133583,49.288585,289,-80.6661,-11.8401,2,ABC00275289,06-DEC-2021 01:28:46
-123.127329,49.275115,36457,-76.685,-19.4556,2,ABD3644336457,06-DEC-2021 18:23:41
-123.156299,49.263883,33,-48.1045,-19.4125,1,ABC0001933,01-DEC-2021 20:04:03
-123.088601,49.256409,36613,-112.7551,-20.2683,1,ABD3659936613,05-DEC-2021 18:52:36
-123.114617,49.280973,255,-49.0251,-10.3081,1,ABC00241255,04-DEC-2021 00:17:03
-123.108932,49.266559,285,-75.3403,-14.1191,2,ABC00271285,06-DEC-2021 01:32:09
-123.178054,49.258449,1029,-48.4567,-15.8722,3,ABC010151029,01-DEC-2021 23:45:17
-123.097687,49.260998,31070,-76.5965,-19.0058,3,ABC3105631070,01-DEC-2021 21:50:02
-123.124294,49.287944,1716,-71.837,-14.6454,1,ABC01701716,01-DEC-2021 17:34:49
-123.128332,49.260606,6351,-58.3852,-6.4592,1,ABD063376351,07-DEC-2021 21:02:36
-123.115089,49.267938,30288,-72.5884,-7.1299,3,ABC3027430288,05-DEC-2021 19:25:03
-123.17739,49.268492,43466,-56.4738,-16.9275,1,ABD434543466,04-DEC-2021 15:51:06
-123.170686,49.264114,35397,-47.9713,-8.3476,7,ABD3538335397,03-DEC-2021 13:12:21
-123.106644,49.271397,1332,-55.0115,-20.1386,3,ABC013181332,01-DEC-2021 22:38:27
-123.105993,49.279819,31917,-65.7132,-16.6748,1,ABC3190331917,05-DEC-2021 01:40:19
-123.142752,49.311387,35536,-84.8311,-11.0896,5,ABD35535536,04-DEC-2021 16:09:10
-123.149718,49.270728,35615,-70.3247,-19.2545,2,ABD3560135615,06-DEC-2021 01:48:30
-123.114588,49.274945,50203,-100.4573,-21.1359,1,ABD5018950203,07-DEC-2021 18:17:57
-123.162629,49.25794,35312,-105.6942,-14.4625,1,ABD3529835312,01-DEC-2021 20:32:57
-123.09597,49.284027,43187,-53.2851,-14.3738,1,ABD4317343187,07-DEC-2021 14:48:37
-123.129357,49.257841,36987,-76.7115,-9.3987,1,ABD3697336987,05-DEC-2021 21:09:02
-123.169027,49.264973,1359,-79.7368,-11.9809,3,ABC013451359,01-DEC-2021 17:59:14
-123.094654,49.279387,35616,-72.6252,-6.3021,2,ABD356035616,05-DEC-2021 21:03:46
-123.078689,49.272529,55215,-76.1715,-14.2602,1,ABC5520155215,05-DEC-2021 20:32:53
-123.133342,49.281772,40368,-66.3338,-21.7191,1,ABC4035440368,06-DEC-2021 15:22:08
-123.153113,49.258901,31239,-71.7661,-18.747,1,ABC3122531239,06-DEC-2021 01:51:19
-123.099023,49.276619,32177,-56.8683,-14.1424,1,ABC3216332177,02-DEC-2021 21:42:13
-123.127993,49.275377,30117,-49.2769,-6.0674,2,ABC3010330117,04-DEC-2021 13:39:29
-123.114578,49.260386,50195,-84.103,-8.3366,2,ABD5018150195,04-DEC-2021 16:27:04
-123.081316,49.264936,36155,-57.5583,-13.6664,2,ABD3614136155,03-DEC-2021 00:47:34
-123.145142,49.272843,1396,-60.6181,-5.0741,3,ABC01381396,07-DEC-2021 14:34:57
-123.10077,49.267432,32234,-106.2539,-18.8476,1,ABC3222032234,01-DEC-2021 21:12:33
-123.183982,49.258875,5636,-67.4053,-13.022,3,ABD0565636,04-DEC-2021 20:20:57
-123.122933,49.275036,31469,-71.2752,-21.4312,1,ABC3145531469,05-DEC-2021 21:03:41
-123.103619,49.267366,32315,-69.6622,-16.2955,3,ABC3230132315,03-DEC-2021 01:07:46
-123.106087,49.270605,30446,-68.7362,-14.9854,1,ABC304330446,07-DEC-2021 18:51:54
-123.143227,49.268033,30265,-56.8778,-20.7128,4,ABC3025130265,06-DEC-2021 13:41:47
-123.08504,49.258778,30569,-74.5716,-21.393,1,ABC3055530569,07-DEC-2021 17:22:57
-123.109871,49.282722,36475,-63.0819,-21.4882,5,ABD3646136475,06-DEC-2021 13:52:04
-123.120337,49.287567,36153,-99.6304,-20.2323,1,ABD3613936153,04-DEC-2021 13:47:51
-123.123491,49.273309,40369,-67.8915,-20.3742,2,ABC4035540369,07-DEC-2021 14:13:37
-123.106435,49.275851,36237,-56.2102,-10.4402,5,ABD3622336237,03-DEC-2021 14:44:39
-123.093659,49.283985,5823,-108.8977,-22.943,1,ABD058095823,07-DEC-2021 19:00:59
-123.110124,49.269171,5266,-90.104,-17.9891,1,ABD05255266,05-DEC-2021 22:15:52
-123.100396,49.274931,35997,-84.2032,-8.8189,1,ABD3598335997,05-DEC-2021 18:17:18
-123.130936,49.274099,35267,-77.8633,-18.2486,1,ABD3525335267,06-DEC-2021 15:33:07
-123.137325,49.285743,31018,-74.0162,-22.0261,1,ABC3100431018,07-DEC-2021 01:16:50
-123.13076,49.272455,830,-52.4958,-11.8238,3,ABC00816830,01-DEC-2021 23:55:02
-123.103521,49.283263,89,-61.5771,-12.7767,6,ABC0007589,03-DEC-2021 13:30:34
-123.138893,49.293426,6275,-63.7999,-17.2345,1,ABD062616275,05-DEC-2021 18:53:00
-123.136228,49.260011,6347,-66.9035,-9.6762,3,ABD063336347,03-DEC-2021 00:42:45
-123.157749,49.300997,35976,-62.3781,-4.9239,2,ABD359635976,04-DEC-2021 00:37:23
-123.164608,49.26581,31958,-59.9947,-20.3962,2,ABC3194431958,04-DEC-2021 14:29:54
-123.087359,49.261511,10713,-57.8387,-13.3355,3,ABC1069910713,07-DEC-2021 00:22:27
-123.135937,49.258867,36505,-77.5186,-16.3339,4,ABD3649136505,01-DEC-2021 23:07:53
-123.10651,49.280885,1636,-74.0211,-13.4324,2,ABC0161636,01-DEC-2021 21:38:43
-123.122509,49.283494,6402,-116.2024,-17.3625,1,ABD063886402,05-DEC-2021 17:37:37
-123.089865,49.256429,1556,-65.9469,-17.2148,2,ABC01541556,02-DEC-2021 23:33:53
-123.130968,49.266754,30999,-73.2317,-9.3998,2,ABC3098530999,04-DEC-2021 01:08:26
-123.146973,49.259045,40466,-59.9297,-18.7073,2,ABC404540466,04-DEC-2021 15:49:36
-123.1312,49.267125,5285,-71.962,-15.1438,3,ABD052715285,06-DEC-2021 01:32:07
-123.151428,49.259117,1328,-66.9664,-20.183,2,ABC013141328,01-DEC-2021 23:44:45
-123.087606,49.2664,40119,-64.6424,-17.3888,2,ABC4010540119,04-DEC-2021 16:41:17
-123.117452,49.275229,31953,-70.3623,-19.3519,1,ABC3193931953,04-DEC-2021 14:05:56
-123.115699,49.278686,1088,-38.6236,-12.6362,2,ABC010741088,04-DEC-2021 13:56:36
-123.096485,49.256817,30347,-65.7283,-12.9173,3,ABC3033330347,07-DEC-2021 17:35:51
-123.146045,49.26463,43466,-63.8585,-12.8164,5,ABD434543466,01-DEC-2021 22:24:39
-123.143235,49.273451,55218,-64.7679,-22.7417,1,ABC5520455218,04-DEC-2021 00:37:17
-123.154821,49.262893,31475,-58.6701,-11.2117,2,ABC3146131475,01-DEC-2021 20:47:52
-123.085329,49.277405,5642,-74.768,-17.8909,3,ABD056285642,02-DEC-2021 19:02:12
-123.139727,49.263617,31319,-52.9752,-18.5419,2,ABC3130531319,04-DEC-2021 15:57:49
-123.106443,49.275657,36461,-93.4479,-15.8158,1,ABD3644736461,01-DEC-2021 20:01:05
-123.124371,49.257597,30447,-53.2851,-16.755,1,ABC3043330447,05-DEC-2021 16:53:43
-123.091101,49.259631,1567,-53.1482,-14.0492,1,ABC015531567,01-DEC-2021 19:49:46
-123.107912,49.27871,35345,-60.4009,-9.1275,5,ABD3533135345,07-DEC-2021 18:35:10
-123.109677,49.277504,31039,-62.1016,-18.9434,4,ABC3102531039,06-DEC-2021 18:10:34
-123.105392,49.277077,43117,-61.4313,-13.3918,1,ABD4310343117,03-DEC-2021 14:00:22
-123.135568,49.267588,6316,-65.9095,-19.9212,2,ABD06306316,06-DEC-2021 15:22:04
-123.081492,49.273193,6536,-81.8322,-21.0621,1,ABD0656536,03-DEC-2021 15:18:10
-123.107416,49.265626,6355,-66.4874,-13.403,2,ABD063416355,07-DEC-2021 18:24:15
-123.095345,49.282114,32366,-76.9064,-17.894,2,ABC323532366,05-DEC-2021 21:05:16
-123.088353,49.257945,30238,-72.5532,-17.8013,1,ABC3022430238,07-DEC-2021 18:24:16
-123.15614,49.26995,31165,-70.6557,-18.1398,2,ABC3115131165,01-DEC-2021 21:20:09
-123.13238,49.285324,36277,-69.8714,-14.88,12,ABD3626336277,05-DEC-2021 15:37:08
-123.099549,49.259297,31475,-49.6083,-19.7351,3,ABC3146131475,01-DEC-2021 20:45:10
-123.089138,49.261331,35585,-59.2493,-10.4714,2,ABD3557135585,06-DEC-2021 16:57:26
-123.141188,49.285608,30299,-40.0926,-5.8707,1,ABC3028530299,06-DEC-2021 19:56:34
-123.119866,49.263448,50195,-82.9404,-13.9548,2,ABD5018150195,05-DEC-2021 21:21:50
-123.162309,49.266514,31000,-62.6073,-8.5246,2,ABC3098631000,04-DEC-2021 01:08:58
-123.082635,49.260568,40139,-66.07,-16.5541,2,ABC4012540139,02-DEC-2021 21:52:19
-123.130124,49.283924,1136,-61.6483,-10.4805,1,ABC0111136,05-DEC-2021 22:28:45
-123.148888,49.259997,35437,-72.278,-18.4988,1,ABD3542335437,06-DEC-2021 17:23:15
-123.102741,49.258422,36611,-94.157,-15.1868,1,ABD3659736611,01-DEC-2021 21:40:21
-123.150658,49.262826,1209,-63.984,-16.955,2,ABC011951209,06-DEC-2021 20:16:53
-123.150567,49.262772,32056,-77.62,-20.1404,1,ABC320432056,05-DEC-2021 21:05:55
-123.097743,49.264544,35997,-71.4955,-6.8528,2,ABD3598335997,05-DEC-2021 18:18:46
-123.100987,49.262274,31397,-72.5387,-19.0839,4,ABC3138331397,05-DEC-2021 16:25:32
-123.082758,49.279918,31135,-77.8619,-7.768,3,ABC3112131135,07-DEC-2021 01:52:16
-123.104716,49.263766,5605,-81.6174,-20.0158,1,ABD055915605,04-DEC-2021 16:02:03
-123.121779,49.264495,31239,-69.1098,-17.0707,1,ABC3122531239,04-DEC-2021 16:33:48
-123.111111,49.268407,30349,-87.57,-21.953,1,ABC3033530349,07-DEC-2021 18:41:04
-123.142364,49.292983,1413,-69.1586,-19.1641,1,ABC013991413,06-DEC-2021 13:37:12
-123.177996,49.260032,36241,-108.1348,-23.3466,1,ABD3622736241,04-DEC-2021 17:00:23
-123.140571,49.261743,36476,-69.9017,-17.6304,1,ABD364636476,01-DEC-2021 23:11:11
-123.164747,49.261931,40488,-72.5674,-11.1146,4,ABC4047440488,06-DEC-2021 01:47:43
-123.098843,49.263659,31415,-52.559,-20.0645,2,ABC3140131415,02-DEC-2021 00:29:49
-123.140294,49.309368,36383,-79.2949,-5.567,2,ABD3636936383,07-DEC-2021 01:42:40
-123.172149,49.261197,6505,-70.3578,-11.8359,2,ABD064916505,04-DEC-2021 00:31:26
-123.162417,49.263627,1567,-74.9931,-12.2269,1,ABC015531567,03-DEC-2021 00:48:30
-123.098337,49.259333,35242,-91.4293,-7.135,1,ABD3522835242,07-DEC-2021 17:52:12
-123.133796,49.287633,31690,-58.889,-13.3659,3,ABC3167631690,07-DEC-2021 21:03:57
-123.109976,49.281507,5165,-65.626,-19.6109,1,ABD051515165,07-DEC-2021 01:01:14
-123.111038,49.260791,35222,-107.7914,-14.9381,1,ABD3520835222,01-DEC-2021 22:30:51
-123.104188,49.268281,31236,-73.4105,-13.028,2,ABC3131236,03-DEC-2021 15:17:26
-123.1068,49.263752,40416,-69.0318,-20.1588,1,ABC404040416,05-DEC-2021 16:53:13
-123.109383,49.270928,1569,-73.0469,-9.0274,3,ABC015551569,07-DEC-2021 21:20:50
-123.093477,49.26251,30348,-66.276,-16.0683,3,ABC3033430348,07-DEC-2021 17:35:41
-123.127116,49.272878,35025,-74.3892,-15.4526,5,ABD3501135025,06-DEC-2021 14:51:30
-123.113476,49.264833,30236,-84.3174,-6.391,2,ABC3030236,05-DEC-2021 20:35:56
-123.143146,49.27348,31307,-72.6214,-22.7486,1,ABC3129331307,06-DEC-2021 15:26:19
-123.107911,49.258513,10155,-69.3676,-21.4007,1,ABC1014110155,05-DEC-2021 22:46:17
-123.143286,49.258986,32175,-61.0546,-13.4297,3,ABC3216132175,02-DEC-2021 21:44:33
-123.128032,49.266019,37006,-73.8549,-17.2155,1,ABD369937006,02-DEC-2021 23:19:50
-123.09514,49.269385,30296,-69.0884,-19.2822,2,ABC302830296,07-DEC-2021 14:41:00
-123.174193,49.258154,30618,-80.7889,-22.5394,1,ABC3060430618,05-DEC-2021 21:09:36
-123.088294,49.283885,30626,-66.1455,-22.8165,1,ABC306130626,05-DEC-2021 20:36:18
-123.08127,49.281681,31448,-71.6146,-20.9236,2,ABC3143431448,01-DEC-2021 20:32:35
-123.106239,49.270219,31985,-78.9594,-16.2051,1,ABC3197131985,06-DEC-2021 01:54:00
-123.088572,49.28389,31036,-64.0894,-17.446,3,ABC31031036,06-DEC-2021 18:12:04
-123.09961,49.271442,1497,-53.6614,-6.3381,1,ABC014831497,03-DEC-2021 00:51:14
-123.115225,49.266808,1397,-62.1098,-9.1259,3,ABC013831397,07-DEC-2021 14:41:00
-123.089706,49.282102,31396,-61.0321,-5.3151,2,ABC313831396,06-DEC-2021 17:22:12
-123.083098,49.279398,30336,-80.6322,-19.7978,2,ABC30330336,05-DEC-2021 17:27:12
-123.115467,49.267845,31590,-75.9732,-18.0488,1,ABC3157631590,01-DEC-2021 20:32:34
-123.107038,49.258381,31608,-80.4498,-23.8544,1,ABC3159431608,07-DEC-2021 17:51:45
-123.125044,49.263382,35437,-66.9416,-11.996,2,ABD3542335437,06-DEC-2021 17:22:51
-123.106983,49.282488,36057,-74.6817,-18.1632,1,ABD3604336057,05-DEC-2021 01:40:51
-123.185618,49.270885,31076,-75.2008,-18.7001,1,ABC310631076,04-DEC-2021 16:28:19
-123.126998,49.289854,15717,-61.839,-4.5707,2,ABD1570315717,05-DEC-2021 21:19:19
-123.114723,49.263216,36506,-77.3042,-17.3042,3,ABD364936506,05-DEC-2021 18:37:31
-123.140794,49.283812,5287,-79.0586,-11.6211,3,ABD052735287,05-DEC-2021 21:24:53
-123.124192,49.263315,10217,-84.9484,-20.3473,1,ABC1020310217,05-DEC-2021 20:37:10
-123.16439,49.264922,40358,-62.7259,-12.9846,3,ABC4034440358,01-DEC-2021 17:22:03
-123.13765,49.258895,40118,-40.7814,-13.0529,1,ABC4010440118,03-DEC-2021 01:25:23
-123.170267,49.266669,31468,-67.0827,-7.5823,2,ABC3145431468,03-DEC-2021 15:10:16
-123.099881,49.265488,31076,-75.733,-16.2254,2,ABC310631076,03-DEC-2021 13:51:32
-123.12201,49.258316,31956,-53.9847,-11.4467,2,ABC319431956,04-DEC-2021 14:23:15
-123.105021,49.260087,36611,-75.5353,-17.0081,3,ABD3659736611,01-DEC-2021 20:17:55
-123.146991,49.26718,30288,-64.7764,-10.6342,1,ABC3027430288,05-DEC-2021 19:25:40
-123.114813,49.27385,6347,-74.5619,-12.142,3,ABD063336347,07-DEC-2021 21:00:55
-123.183994,49.25854,30236,-82.2872,-9.8099,3,ABC3030236,05-DEC-2021 20:37:51
-123.131168,49.288716,1327,-62.5016,-19.8414,1,ABC013131327,05-DEC-2021 16:40:16
-123.124145,49.282073,31141,-66.2201,-10.8324,1,ABC3112731141,08-DEC-2021 22:43:55
-123.148364,49.257376,6717,-72.4164,-14.7497,2,ABD067036717,04-DEC-2021 14:18:51
-123.170143,49.263189,43116,-75.5009,-22.4464,1,ABD431043116,03-DEC-2021 15:19:28
-123.138106,49.260763,5837,-66.9496,-19.5504,1,ABD058235837,05-DEC-2021 19:28:26
-123.139616,49.283044,40418,-61.9332,-20.2545,1,ABC4040440418,06-DEC-2021 17:45:21
-123.115023,49.265917,36985,-68.2474,-15.895,2,ABD3697136985,06-DEC-2021 01:52:26
-123.10959,49.279222,43467,-49.3421,-6.6225,1,ABD4345343467,04-DEC-2021 14:01:18
-123.085336,49.257661,36611,-84.2718,-12.4495,1,ABD3659736611,08-DEC-2021 22:51:59
-123.109497,49.261991,43466,-63.4558,-13.8857,3,ABD434543466,01-DEC-2021 22:31:33
-123.08726,49.278892,36537,-52.8197,-14.6642,1,ABD3652336537,04-DEC-2021 13:55:11
-123.115809,49.287925,35295,-60.5056,-8.0274,1,ABD3528135295,06-DEC-2021 14:01:15
-123.090422,49.258822,40120,-77.8716,-14.8497,3,ABC4010640120,03-DEC-2021 13:51:28
