ID,Type,Month,Block
65,Theft From Auto Under $5000,01,11XX E PENDER ST
66,Theft From Auto Under $5000,01,10XX LAKEWOOD DR
67,Theft From Auto Under $5000,01,30XX COURTENAY ST
68,Theft From Auto Under $5000,01,DUNSMUIR ST / RICHARDS ST
69,Theft From Auto Under $5000,01,4XX HELMCKEN ST
70,Theft From Auto Under $5000,01,18XX BARCLAY ST
71,Theft From Auto Under $5000,01,13XX DAVIE ST
72,Theft From Auto Under $5000,01,41XX BRANT ST
73,Theft From Auto Under $5000,01,35XX CAMBRIDGE ST
74,Theft From Auto Under $5000,01,5XX RICHARDS ST
75,Theft From Auto Under $5000,01,20XX W 12TH AV
76,Theft From Auto Under $5000,01,34XX W 28TH AV
77,Theft From Auto Under $5000,01,11XX BURNABY ST
78,Theft From Auto Under $5000,01,W CORDOVA ST / WATER ST
79,Theft From Auto Under $5000,01,21XX W 4TH AV
80,Theft From Auto Under $5000,01,4XX HELMCKEN ST
81,Theft From Auto Under $5000,01,11XX W HASTINGS ST
82,Theft From Auto Under $5000,01,10XX SEYMOUR ST
83,Theft From Auto Under $5000,01,23XX E 12TH AV
84,Theft From Auto Under $5000,01,DUNSMUIR ST / SEYMOUR ST
85,Theft From Auto Under $5000,01,56XX VICTORIA DR
86,Theft From Auto Under $5000,01,8XX AVISON WAY
87,Theft From Auto Under $5000,01,7XX W GEORGIA ST
88,Theft From Auto Under $5000,01,11XX BEACH AV
89,Theft From Auto Under $5000,01,BURRARD ST / SMITHE ST
90,Theft From Auto Under $5000,01,RICHARDS ST / SMITHE ST
91,Theft From Auto Under $5000,01,1XX W PENDER ST
92,Theft From Auto Under $5000,01,11XX BARCLAY ST
93,Theft From Auto Under $5000,01,W CORDOVA ST / WATER ST
94,Theft From Auto Under $5000,01,5XX RICHARDS ST
95,Theft From Auto Under $5000,01,5XX RICHARDS ST
96,Theft From Auto Under $5000,01,47XX GOTHARD ST
97,Theft From Auto Under $5000,01,4XX HELMCKEN ST
98,Theft From Auto Under $5000,01,4XX E 58TH AV
99,Theft From Auto Under $5000,01,39XX W 31ST AV
100,Theft From Auto Under $5000,01,4XX HELMCKEN ST
101,Theft From Auto Under $5000,01,5XX COLUMBIA ST
102,Theft From Auto Under $5000,01,E 50TH AV / PRINCE EDWARD ST
103,Theft From Auto Under $5000,01,30XX HORLEY ST
104,Theft From Auto Under $5000,01,47XX ROSS ST
105,Theft From Auto Under $5000,01,46XX W 12TH AV
106,Theft From Auto Under $5000,01,29XX W 4TH AV
107,Theft From Auto Under $5000,01,62XX FREMLIN ST
108,Theft From Auto Under $5000,01,4XX E 62ND AV
109,Theft From Auto Under $5000,01,7XX W GEORGIA ST
110,Theft From Auto Under $5000,01,34XX W 3RD AV
111,Theft From Auto Under $5000,01,8XX BURRARD ST
112,Theft From Auto Under $5000,01,CAMBIE ST / W PENDER ST
113,Theft From Auto Under $5000,01,RICHARDS ST / W PENDER ST
114,Theft From Auto Under $5000,01,30XX W 37TH AV
115,Theft From Auto Under $5000,01,5XX W 12TH AV
116,Theft From Auto Under $5000,01,12XX MELVILLE ST
117,Theft From Auto Under $5000,01,BURRARD ST / ROBSON ST
118,Theft From Auto Under $5000,01,35XX CAMBRIDGE ST
119,Theft From Auto Under $5000,01,22XX W BROADWAY AV
120,Theft From Auto Under $5000,01,1XX W 13TH AV
121,Theft From Auto Under $5000,01,10XX W 7TH AV
122,Theft From Auto Under $5000,01,12XX E 26TH AV
123,Theft From Auto Under $5000,01,13XX DAVIE ST
124,Theft From Auto Under $5000,01,10XX E KING EDWARD AV
125,Theft From Auto Under $5000,01,OAK ST / W BROADWAY AV
126,Theft From Auto Under $5000,01,7XX DENMAN ST
127,Theft From Auto Under $5000,01,13XX E 24TH AV
128,Theft From Auto Under $5000,01,7XX HAMILTON ST
129,Theft From Auto Under $5000,01,52XX FRASER ST
130,Theft From Auto Under $5000,01,56XX NANAIMO ST
131,Theft From Auto Under $5000,01,12XX BIDWELL ST
132,Theft From Auto Under $5000,01,49XX MANOR ST
133,Theft From Auto Under $5000,01,W 10TH AV / WILLOW ST
134,Theft From Auto Under $5000,01,33XX E 26TH AV
135,Theft From Auto Under $5000,01,2XX ROBSON ST
136,Theft From Auto Under $5000,01,52XX PRINCE ALBERT ST
137,Theft From Auto Under $5000,01,2XX ROBSON ST
138,Theft From Auto Under $5000,01,34XX DUNDAS ST
139,Theft From Auto Under $5000,01,8XX CAMBIE ST
140,Theft From Auto Under $5000,01,KINGSWAY AV / KNIGHT ST
141,Theft From Auto Under $5000,01,29XX KITCHENER ST
142,Theft From Auto Under $5000,01,19XX CEDAR CRES
143,Theft From Auto Under $5000,01,27XX ALBERTA ST
144,Theft From Auto Under $5000,01,15XX W 32ND AV
145,Theft From Auto Under $5000,01,53XX SLOCAN ST
146,Theft From Auto Under $5000,01,12XX BURNABY ST
147,Theft From Auto Under $5000,01,19XX W 11TH AV
148,Theft From Auto Under $5000,01,4XX W 19TH AV
149,Theft From Auto Under $5000,01,50XX ST CATHERINES ST
150,Theft From Auto Under $5000,01,9XX W 21ST AV
151,Theft From Auto Under $5000,01,4XX W 18TH AV
152,Theft From Auto Under $5000,01,13XX E 24TH AV
153,Theft From Auto Under $5000,01,1XX W PENDER ST
154,Theft From Auto Under $5000,01,22XX ETON ST
155,Theft From Auto Under $5000,01,36XX E PENDER ST
156,Theft From Auto Under $5000,01,5XX RICHARDS ST
157,Theft From Auto Under $5000,01,2XX ROBSON ST
158,Theft From Auto Under $5000,01,14XX W 10TH AV
159,Theft From Auto Under $5000,01,9XX W GEORGIA ST
160,Theft From Auto Under $5000,01,21XX HERMON DR
161,Theft From Auto Under $5000,01,21XX E BROADWAY AV
162,Theft From Auto Under $5000,01,6XX CITADEL PRDE
163,Theft From Auto Under $5000,01,8XX KINGSWAY AV
164,Theft From Auto Under $5000,01,84XX JELLICOE ST
165,Theft From Auto Under $5000,01,26XX W 4TH AV
166,Theft From Auto Under $5000,01,10XX GRANVILLE ST
167,Theft From Auto Under $5000,01,57XX MACDONALD ST
168,Theft From Auto Under $5000,01,59XX CARNARVON ST
169,Theft From Auto Under $5000,01,22XX W 1ST AV
170,Theft From Auto Under $5000,01,25XX BROCK ST
171,Theft From Auto Under $5000,01,2XX W 19TH AV
172,Theft From Auto Under $5000,01,1XX W 18TH AV
173,Theft From Auto Under $5000,01,1XX W 17TH AV
174,Theft From Auto Under $5000,01,13XX RICHARDS ST
175,Theft From Auto Under $5000,01,8XX AVISON WAY
176,Theft From Auto Under $5000,01,57XX SHERBROOKE ST
177,Theft From Auto Under $5000,01,11XX GRANVILLE ST
178,Theft From Auto Under $5000,01,2XX E 1ST AV
179,Theft From Auto Under $5000,01,4XX E HASTINGS ST
180,Theft From Auto Under $5000,01,29XX W 43RD AV
181,Theft From Auto Under $5000,01,36XX MONMOUTH AV
182,Theft From Auto Under $5000,01,33XX ROSEMONT DR
183,Theft From Auto Under $5000,01,29XX W 43RD AV
184,Theft From Auto Under $5000,01,46XX CLARENDON ST
185,Theft From Auto Under $5000,01,CARTIER ST / MATTHEWS AV
186,Theft From Auto Under $5000,01,25XX POINT GREY ROAD
187,Theft From Auto Under $5000,01,8XX AVISON WAY
188,Theft From Auto Under $5000,01,11XX DAVIE ST
189,Theft From Auto Under $5000,01,1XX W 10TH AV
190,Theft From Auto Under $5000,01,16XX YEW ST
191,Theft From Auto Under $5000,01,50XX HOY ST
192,Theft From Auto Under $5000,01,84XX GRANVILLE ST
193,Theft From Auto Under $5000,01,19XX E HASTINGS ST
194,Theft From Auto Under $5000,01,BUTE ST / ROBSON ST
195,Theft From Auto Under $5000,01,28XX E 5TH AV
196,Theft From Auto Under $5000,01,12XX HOMER ST
197,Theft From Auto Under $5000,01,69XX CULLODEN ST
198,Theft From Auto Under $5000,01,22XX W 1ST AV
199,Theft From Auto Under $5000,01,1XX W CORDOVA ST
200,Theft From Auto Under $5000,01,2XX ROBSON ST
201,Theft From Auto Under $5000,01,8XX BEATTY ST
202,Theft From Auto Under $5000,01,12XX CARDERO ST
203,Theft From Auto Under $5000,01,1XX W GEORGIA ST
204,Theft From Auto Under $5000,01,31XX E GEORGIA ST
205,Theft From Auto Under $5000,01,16XX E BROADWAY AV
206,Theft From Auto Under $5000,01,7XX E 31ST AV
207,Theft From Auto Under $5000,01,36XX E 26TH AV
208,Theft From Auto Under $5000,01,38XX W 22ND AV
209,Theft From Auto Under $5000,01,54XX MACKIE ST
210,Theft From Auto Under $5000,01,5XX E 6TH AV
211,Theft From Auto Under $5000,01,60XX MACKENZIE ST
212,Theft From Auto Under $5000,01,3XX W 5TH AV
213,Theft From Auto Under $5000,01,48XX ARGYLE ST
214,Theft From Auto Under $5000,01,E 43RD AV / MAIN ST
215,Theft From Auto Under $5000,01,31XX GRANVILLE ST
216,Theft From Auto Under $5000,01,48XX KILLARNEY ST
217,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
218,Theft From Auto Under $5000,01,33XX EUCLID AV
219,Theft From Auto Under $5000,01,33XX W 31ST AV
220,Theft From Auto Under $5000,01,5XX E 6TH AV
221,Theft From Auto Under $5000,01,9XX RICHARDS ST
222,Theft From Auto Under $5000,01,7XX BIDWELL ST
223,Theft From Auto Under $5000,01,20XX E 42ND AV
224,Theft From Auto Under $5000,01,1XX E CORDOVA ST
225,Theft From Auto Under $5000,01,7XX HOMER ST
226,Theft From Auto Under $5000,01,5XX E 11TH AV
227,Theft From Auto Under $5000,01,16XX W 15TH AV
228,Theft From Auto Under $5000,01,8XX AVISON WAY
229,Theft From Auto Under $5000,01,7XX W GEORGIA ST
230,Theft From Auto Under $5000,01,57XX VICTORIA DR
231,Theft From Auto Under $5000,01,4XX SEYMOUR ST
232,Theft From Auto Under $5000,01,ABBOTT ST / W HASTINGS ST
233,Theft From Auto Under $5000,01,13XX KINGSWAY AV
234,Theft From Auto Under $5000,01,13XX THURLOW ST
235,Theft From Auto Under $5000,01,ALBERNI ST / BURRARD ST
236,Theft From Auto Under $5000,01,MAPLE ST / W 37TH AV
237,Theft From Auto Under $5000,01,12XX COMOX ST
238,Theft From Auto Under $5000,01,29XX BIRCH ST
239,Theft From Auto Under $5000,01,41XX INVERNESS ST
240,Theft From Auto Under $5000,01,13XX NAPIER ST
241,Theft From Auto Under $5000,01,12XX BURNABY ST
242,Theft From Auto Under $5000,01,19XX WATERLOO ST
243,Theft From Auto Under $5000,01,7XX HAMILTON ST
244,Theft From Auto Under $5000,01,10XX SEYMOUR ST
245,Theft From Auto Under $5000,01,SEYMOUR ST / W GEORGIA ST
246,Theft From Auto Under $5000,01,23XX OXFORD ST
247,Theft From Auto Under $5000,01,24XX CAMBRIDGE ST
248,Theft From Auto Under $5000,01,SEYMOUR ST / W HASTINGS ST
249,Theft From Auto Under $5000,01,12XX BURNABY ST
250,Theft From Auto Under $5000,01,34XX E 4TH AV
251,Theft From Auto Under $5000,01,1XX W 39TH AV
252,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
253,Theft From Auto Under $5000,01,24XX CAMBRIDGE ST
254,Theft From Auto Under $5000,01,DUNSMUIR ST / HOMER ST
255,Theft From Auto Under $5000,01,10XX W PENDER ST
256,Theft From Auto Under $5000,01,32XX E 62ND AV
257,Theft From Auto Under $5000,01,8XX LAGOON DR
258,Theft From Auto Under $5000,01,1XX E 57TH AV
259,Theft From Auto Under $5000,01,27XX E 4TH AV
260,Theft From Auto Under $5000,01,25XX FRASER ST
261,Theft From Auto Under $5000,01,GRANVILLE ST / W 7TH AV
262,Theft From Auto Under $5000,01,CAMBIE ST / W GEORGIA ST
263,Theft From Auto Under $5000,01,16XX JOHNSTON ST
264,Theft From Auto Under $5000,01,22XX COMMERCIAL DR
265,Theft From Auto Under $5000,01,7XX W GEORGIA ST
266,Theft From Auto Under $5000,01,1XX W 21ST AV
267,Theft From Auto Under $5000,01,3XX E 11TH AV
268,Theft From Auto Under $5000,01,9XX DENMAN ST
269,Theft From Auto Under $5000,01,23XX CAMBRIDGE ST
270,Theft From Auto Under $5000,01,9XX HORNBY ST
271,Theft From Auto Under $5000,01,BURRARD ST / W 2ND AV
272,Theft From Auto Under $5000,01,10XX SEYMOUR ST
273,Theft From Auto Under $5000,01,44XX SOPHIA ST
274,Theft From Auto Under $5000,01,1XX E 13TH AV
275,Theft From Auto Under $5000,01,11XX JERVIS ST
276,Theft From Auto Under $5000,01,4XX E 38TH AV
277,Theft From Auto Under $5000,01,6XX E 10TH AV
278,Theft From Auto Under $5000,01,6XX E 10TH AV
279,Theft From Auto Under $5000,01,11XX DEVONSHIRE CRES
280,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
281,Theft From Auto Under $5000,01,11XX JERVIS ST
282,Theft From Auto Under $5000,01,86XX OSLER ST
283,Theft From Auto Under $5000,01,11XX BROUGHTON ST
284,Theft From Auto Under $5000,01,WALES ST / WAVERLEY AV
285,Theft From Auto Under $5000,01,58XX CHESTER ST
286,Theft From Auto Under $5000,01,38XX NOOTKA ST
287,Theft From Auto Under $5000,01,6XX E 53RD AV
288,Theft From Auto Under $5000,01,22XX DUNDAS ST
289,Theft From Auto Under $5000,01,BEATTY ST / W PENDER ST
290,Theft From Auto Under $5000,01,7XX E 6TH AV
291,Theft From Auto Under $5000,01,13XX E 27TH AV
292,Theft From Auto Under $5000,01,9XX W BROADWAY AV
293,Theft From Auto Under $5000,01,22XX E 48TH AV
294,Theft From Auto Under $5000,01,46XX SLOCAN ST
295,Theft From Auto Under $5000,01,ASH ST / W BROADWAY AV
296,Theft From Auto Under $5000,01,CYPRESS ST / W 1ST AV
297,Theft From Auto Under $5000,01,2XX E 54TH AV
298,Theft From Auto Under $5000,01,ASH ST / W BROADWAY AV
299,Theft From Auto Under $5000,01,21XX MANNERING AV
300,Theft From Auto Under $5000,01,83XX GRANVILLE ST
301,Theft From Auto Under $5000,01,1XX W BROADWAY AV
302,Theft From Auto Under $5000,01,6XX E PENDER ST
303,Theft From Auto Under $5000,01,10XX HOMER ST
304,Theft From Auto Under $5000,01,29XX CLARK DR
305,Theft From Auto Under $5000,01,11XX HARO ST
306,Theft From Auto Under $5000,01,13XX DAVIE ST
307,Theft From Auto Under $5000,01,14XX E 8TH AV
308,Theft From Auto Under $5000,01,7XX E 6TH AV
309,Theft From Auto Under $5000,01,MCGEER ST / QUEENS AV
310,Theft From Auto Under $5000,01,7XX DRAKE ST
311,Theft From Auto Under $5000,01,46XX MAIN ST
312,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
313,Theft From Auto Under $5000,01,11XX DAVIE ST
314,Theft From Auto Under $5000,01,18XX W 12TH AV
315,Theft From Auto Under $5000,01,61XX TISDALL ST
316,Theft From Auto Under $5000,01,2XX W 23RD AV
317,Theft From Auto Under $5000,01,16XX E 21ST AV
318,Theft From Auto Under $5000,01,45XX SIDNEY ST
319,Theft From Auto Under $5000,01,32XX E 54TH AV
320,Theft From Auto Under $5000,01,DAVIE ST / NICOLA ST
321,Theft From Auto Under $5000,01,39XX CLARK DR
322,Theft From Auto Under $5000,01,39XX CLARK DR
323,Theft From Auto Under $5000,01,3XX E 34TH AV
324,Theft From Auto Under $5000,01,3XX E 34TH AV
325,Theft From Auto Under $5000,01,6XX W WATERFRONT RD
326,Theft From Auto Under $5000,01,3XX TERMINAL AV
327,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
328,Theft From Auto Under $5000,01,12XX DAVIE ST
329,Theft From Auto Under $5000,01,14XX PENDRELL ST
330,Theft From Auto Under $5000,01,12XX BUTE ST
331,Theft From Auto Under $5000,01,E 43RD AV / INVERNESS ST
332,Theft From Auto Under $5000,01,24XX BAYSWATER ST
333,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
334,Theft From Auto Under $5000,01,89XX OAK ST
335,Theft From Auto Under $5000,01,63XX MAIN ST
336,Theft From Auto Under $5000,01,12XX HARWOOD ST
337,Theft From Auto Under $5000,01,4XX W HASTINGS ST
338,Theft From Auto Under $5000,01,10XX BURRARD ST
339,Theft From Auto Under $5000,01,12XX W BROADWAY AV
340,Theft From Auto Under $5000,01,14XX W BROADWAY AV
341,Theft From Auto Under $5000,01,22XX W 1ST AV
342,Theft From Auto Under $5000,01,7XX W GEORGIA ST
343,Theft From Auto Under $5000,01,37XX W 7TH AV
344,Theft From Auto Under $5000,01,12XX E 11TH AV
345,Theft From Auto Under $5000,01,1XX KEEFER ST
346,Theft From Auto Under $5000,01,23XX MCGILL ST
347,Theft From Auto Under $5000,01,5XX W PENDER ST
348,Theft From Auto Under $5000,01,4XX W 45TH AV
349,Theft From Auto Under $5000,01,43XX W 10TH AV
350,Theft From Auto Under $5000,01,72XX ADERA ST
351,Theft From Auto Under $5000,01,33XX FINDLAY ST
352,Theft From Auto Under $5000,01,MACDONALD ST / W BROADWAY AV
353,Theft From Auto Under $5000,01,22XX E 6TH AV
354,Theft From Auto Under $5000,01,10XX E 56TH AV
355,Theft From Auto Under $5000,01,3XX E 47TH AV
356,Theft From Auto Under $5000,01,11XX W HASTINGS ST
357,Theft From Auto Under $5000,01,11XX W GEORGIA ST
358,Theft From Auto Under $5000,01,7XX W PENDER ST
359,Theft From Auto Under $5000,01,1XX W 49TH AV
360,Theft From Auto Under $5000,01,10XX BURRARD ST
361,Theft From Auto Under $5000,01,12XX HARWOOD ST
362,Theft From Auto Under $5000,01,RICHARDS ST / W PENDER ST
363,Theft From Auto Under $5000,01,23XX E 6TH AV
364,Theft From Auto Under $5000,01,3XX E 50TH AV
365,Theft From Auto Under $5000,01,64XX ST GEORGE ST
366,Theft From Auto Under $5000,01,1XX E 53RD AV
367,Theft From Auto Under $5000,01,5XX W 12TH AV
368,Theft From Auto Under $5000,01,10XX BURRARD ST
369,Theft From Auto Under $5000,01,29XX VICTORIA DR
370,Theft From Auto Under $5000,01,10XX ROBSON ST
371,Theft From Auto Under $5000,01,56XX STANLEY PARK DR
372,Theft From Auto Under $5000,01,42XX SLOCAN ST
373,Theft From Auto Under $5000,01,5XX W 28TH AV
374,Theft From Auto Under $5000,01,44XX ONTARIO ST
375,Theft From Auto Under $5000,01,SEYMOUR ST / W HASTINGS ST
376,Theft From Auto Under $5000,01,12XX E 19TH AV
377,Theft From Auto Under $5000,01,GRANVILLE ST / W 8TH AV
378,Theft From Auto Under $5000,01,1XX W PENDER ST
379,Theft From Auto Under $5000,01,KINGSWAY AV / SLOCAN ST
380,Theft From Auto Under $5000,01,E 37TH AV / VICTORIA DR
381,Theft From Auto Under $5000,01,87XX FRENCH ST
382,Theft From Auto Under $5000,01,56XX SHERBROOKE ST
383,Theft From Auto Under $5000,01,SEYMOUR ST / W HASTINGS ST
384,Theft From Auto Under $5000,01,13XX E 20TH AV
385,Theft From Auto Under $5000,01,1XX W 13TH AV
386,Theft From Auto Under $5000,01,56XX INVERNESS ST
387,Theft From Auto Under $5000,01,15XX STANLEY PARK DR
388,Theft From Auto Under $5000,01,7XX W GEORGIA ST
389,Theft From Auto Under $5000,01,1XX W GEORGIA ST
390,Theft From Auto Under $5000,01,63XX TYNE ST
391,Theft From Auto Under $5000,01,ROBSON ST / THURLOW ST
392,Theft From Auto Under $5000,01,SEYMOUR ST / W PENDER ST
393,Theft From Auto Under $5000,01,11XX HOWE ST
394,Theft From Auto Under $5000,01,8XX W HASTINGS ST
395,Theft From Auto Under $5000,01,RICHARDS ST / SMITHE ST
396,Theft From Auto Under $5000,01,8XX W BROADWAY AV
397,Theft From Auto Under $5000,01,10XX E 22ND AV
398,Theft From Auto Under $5000,01,3XX W GEORGIA ST
399,Theft From Auto Under $5000,01,30XX E 56TH AV
400,Theft From Auto Under $5000,01,10XX CAMBIE ST
401,Theft From Auto Under $5000,01,64XX ST CATHERINES ST
402,Theft From Auto Under $5000,01,27XX CHANDLERY PL
403,Theft From Auto Under $5000,01,16XX YEW ST
404,Theft From Auto Under $5000,01,22XX YORK AV
405,Theft From Auto Under $5000,01,7XX W 42ND AV
406,Theft From Auto Under $5000,01,8XX W GEORGIA ST
407,Theft From Auto Under $5000,01,160XX BEACH AV
408,Theft From Auto Under $5000,01,8XX W HASTINGS ST
409,Theft From Auto Under $5000,01,5XX W HASTINGS ST
410,Theft From Auto Under $5000,01,4XX SEYMOUR ST
411,Theft From Auto Under $5000,01,10XX E 39TH AV
412,Theft From Auto Under $5000,01,10XX E 39TH AV
413,Theft From Auto Under $5000,01,8XX W 71ST AV
414,Theft From Auto Under $5000,01,35XX E PENDER ST
415,Theft From Auto Under $5000,01,E 12TH AV / VICTORIA DR
416,Theft From Auto Under $5000,01,45XX COMMERCIAL ST
417,Theft From Auto Under $5000,01,4XX E 53RD AV
418,Theft From Auto Under $5000,01,29XX W 7TH AV
419,Theft From Auto Under $5000,01,20XX BEACH AV
420,Theft From Auto Under $5000,01,NELSON ST / RICHARDS ST
421,Theft From Auto Under $5000,01,JOYCE ST / KINGSWAY AV
422,Theft From Auto Under $5000,01,8XX SEYMOUR ST
423,Theft From Auto Under $5000,01,5XX SEYMOUR ST
424,Theft From Auto Under $5000,01,MACDONALD ST / W 16TH AV
425,Theft From Auto Under $5000,01,13XX JOHNSTON ST
426,Theft From Auto Under $5000,01,4XX SEYMOUR ST
427,Theft From Auto Under $5000,01,4XX SEYMOUR ST
428,Theft From Auto Under $5000,01,GRANVILLE ST / W 11TH AV
429,Theft From Auto Under $5000,01,13XX SEYMOUR ST
430,Theft From Auto Under $5000,01,6XX RICHARDS ST
431,Theft From Auto Under $5000,01,CARTIER ST / W 57TH AV
432,Theft From Auto Under $5000,01,14XX W 55TH AV
433,Theft From Auto Under $5000,01,14XX W 58TH AV
434,Theft From Auto Under $5000,01,16XX E 10TH AV
435,Theft From Auto Under $5000,01,46XX JOYCE ST
436,Theft From Auto Under $5000,01,6XX ABBOTT ST
437,Theft From Auto Under $5000,01,76XX OSLER ST
438,Theft From Auto Under $5000,01,RICHARDS ST / W GEORGIA ST
439,Theft From Auto Under $5000,01,7XX W GEORGIA ST
440,Theft From Auto Under $5000,01,8XX AVISON WAY
441,Theft From Auto Under $5000,01,12XX ROBSON ST
442,Theft From Auto Under $5000,01,14XX QUEBEC ST
443,Theft From Auto Under $5000,01,DUNSMUIR ST / RICHARDS ST
444,Theft From Auto Under $5000,01,55XX MELBOURNE ST
445,Theft From Auto Under $5000,01,18XX W 16TH AV
446,Theft From Auto Under $5000,01,14XX DOGWOOD AV
447,Theft From Auto Under $5000,01,4XX SEYMOUR ST
448,Theft From Auto Under $5000,01,18XX ROBSON ST
449,Theft From Auto Under $5000,01,67XX LAUREL ST
450,Theft From Auto Under $5000,01,12XX DAVIE ST
451,Theft From Auto Under $5000,01,7XX BROUGHTON ST
452,Theft From Auto Under $5000,01,62XX PRINCE ALBERT ST
453,Theft From Auto Under $5000,01,40XX KNIGHT ST
454,Theft From Auto Under $5000,01,20XX W 12TH AV
455,Theft From Auto Under $5000,01,56XX GLADSTONE ST
456,Theft From Auto Under $5000,01,55XX EARLES ST
457,Theft From Auto Under $5000,01,16XX ALBERNI ST
458,Theft From Auto Under $5000,01,16XX ALBERNI ST
459,Theft From Auto Under $5000,01,41XX ELGIN ST
460,Theft From Auto Under $5000,01,6XX BUCKETWHEEL AV
461,Theft From Auto Under $5000,01,33XX W 32ND AV
462,Theft From Auto Under $5000,01,20XX W 12TH AV
463,Theft From Auto Under $5000,01,COLUMBIA ST / E HASTINGS ST
464,Theft From Auto Under $5000,01,7XX E 54TH AV
465,Theft From Auto Under $5000,01,58XX FRASER ST
466,Theft From Auto Under $5000,01,52XX ROSS ST
467,Theft From Auto Under $5000,01,7XX NICOLA ST
468,Theft From Auto Under $5000,01,56XX EAST BLVD
469,Theft From Auto Under $5000,01,72XX CAMBIE ST
470,Theft From Auto Under $5000,01,69XX FLEMING ST
471,Theft From Auto Under $5000,01,E 21ST AV / LANARK ST
472,Theft From Auto Under $5000,01,6XX E 11TH AV
473,Theft From Auto Under $5000,01,16XX W 10TH AV
