FULL_ADDRESS,LOCALITY,LONGITUDE,LATITUDE
6103 164 St,SURREY,-122.76797183290958,49.11353969092332
6121 164 St,SURREY,-122.76796561024169,49.113952213297424
6057 164 St,SURREY,-122.76795733761249,49.11263980916209
6152 164 St,SURREY,-122.76753634334253,49.114361428838386
6186 164A St,SURREY,-122.76641738414911,49.11437941189146
6142 164A St,SURREY,-122.76640335138678,49.11404303109627
16455 62 Ave,SURREY,-122.76633528545794,49.114832610918974
16380 64 Ave,SURREY,-122.76963657819668,49.117904891071504
16421 62 Ave,SURREY,-122.76760554454215,49.11558689645313
16488 64 Ave,SURREY,-122.76660761016721,49.118672172690154
16463 63 Ave,SURREY,-122.76640966478512,49.11619094067669
16472 63 Ave,SURREY,-122.76593406934622,49.11621634217932
16469 62A Ave,SURREY,-122.76585601595785,49.11581403262283
16323 64 Ave,SURREY,-122.76986636196071,49.11910917864571
16455 64 Ave,SURREY,-122.7661512643535,49.11986405454596
16447 64 Ave,SURREY,-122.76610262157183,49.11922610735715
7785 163 St,SURREY,-122.77066908970912,49.143503133126316
16267 77 Ave,SURREY,-122.77061906040461,49.14266907446569
7770 163 St,SURREY,-122.76978531212757,49.14375602259402
16418 77 Ave,SURREY,-122.76736397651173,49.14288442660295
16446 77 Ave,SURREY,-122.76583728371105,49.14275802262431
16295 78 Ave,SURREY,-122.77015372533202,49.14470559142777
16318 78 Ave,SURREY,-122.76976553447442,49.144383230688995
16336 78 Ave,SURREY,-122.76935446099849,49.1443826765687
16357 78 Ave,SURREY,-122.76862472692231,49.14470540006785
7892 164 St,SURREY,-122.76744155601467,49.14611863185161
7876 164A St,SURREY,-122.76625540397734,49.14593054478994
7866 164A St,SURREY,-122.76620835557415,49.145818247232555
16491 86A Ave,SURREY,-122.76563430420872,49.15973928148573
16338 88A Ave,SURREY,-122.76901152518795,49.163792199092256
16362 88A Ave,SURREY,-122.76885471921567,49.16364931050841
16423 89 Ave,SURREY,-122.76668706095943,49.16469435121237
8872 164A St,SURREY,-122.76588842205783,49.16382623339204
16460 89 Ave,SURREY,-122.76580562802116,49.16448352452733
16467 89 Ave,SURREY,-122.76555434289395,49.164742436602786
16346 91A Ave,SURREY,-122.77008820611775,49.169174693900196
9039 164 St,SURREY,-122.76799443007087,49.1671944931216
9298 163 St,SURREY,-122.77039799325127,49.171448185872215
9312 163 St,SURREY,-122.77039657594133,49.171724696765814
9286 163A St,SURREY,-122.76891290174508,49.17121413743665
9368 163A St,SURREY,-122.76881699514942,49.17265948148376
16373 92 Ave,SURREY,-122.76864808620654,49.170272224851644
16415 92A Ave,SURREY,-122.76720270875155,49.17109583457872
16452 93A Ave,SURREY,-122.76574112408075,49.17205072007574
9387 163 St,SURREY,-122.7708319653209,49.173131963125485
9379 163 St,SURREY,-122.77082976523951,49.172895564405174
9422 163 St,SURREY,-122.77041429406559,49.17370592775165
16329 94 Ave,SURREY,-122.7699233652025,49.17356678568274
16331 95 Ave,SURREY,-122.76965700246355,49.17520590172338
16330 95 Ave,SURREY,-122.76958168505656,49.17493913101718
16340 94 Ave,SURREY,-122.76950787588213,49.17322567007336
16347 95 Ave,SURREY,-122.76916068283772,49.175101823980405
9511 164 St,SURREY,-122.76791644769567,49.17532763049165
16316 96 Ave,SURREY,-122.77046102394911,49.17677007875749
16345 96 Ave,SURREY,-122.76891720606616,49.1772612800681
9596 164 St,SURREY,-122.76747070087703,49.17669906017631
10059 164 St,SURREY,-122.76886230562339,49.18538277491377
10279 164 St,SURREY,-122.76771761518243,49.18898307093735
16440 112 Ave,SURREY,-122.76558912319155,49.20569146750172
16589 50 Ave,SURREY,-122.76306204941632,49.09337908761955
16453 52 Ave,SURREY,-122.76485260161479,49.09707906008545
16628 52 Ave,SURREY,-122.76168052525814,49.096746408787425
16525 57 Ave,SURREY,-122.76489728469659,49.10773894298767
16531 57 Ave,SURREY,-122.7645660119079,49.10771315256183
16551 Old Mclellan Rd,SURREY,-122.76432739855926,49.10684813280036
16542 57 Ave,SURREY,-122.7643023598074,49.107364117912574
16546 Old Mclellan Rd,SURREY,-122.76410609639673,49.10655542191347
16581 Old Mclellan Rd,SURREY,-122.7630805640367,49.10771256042232
16627 57 Ave,SURREY,-122.76253666949327,49.1068615888285
16658 57 Ave,SURREY,-122.76160040936104,49.10636631576385
16663 57 Ave,SURREY,-122.76121835038337,49.1065943724813
16678 57 Ave,SURREY,-122.76089794833638,49.10633754829038
16675 57 Ave,SURREY,-122.76079712683176,49.10659954811925
16687 57 Ave,SURREY,-122.76044335493636,49.10659149765121
5977 165 St,SURREY,-122.76511918521923,49.11127290232091
16562 Bell Rd,SURREY,-122.7647597870424,49.108608728761496
5905 165A St,SURREY,-122.76463486600896,49.10982981871799
16522 60 Ave,SURREY,-122.76439640860374,49.111461792227324
5922 165A St,SURREY,-122.7642748938498,49.10994059373193
5876 165B St,SURREY,-122.76386669704766,49.10884499185118
16546 60 Ave,SURREY,-122.7638013985471,49.11145858751522
5880 165B St,SURREY,-122.76375014594755,49.108986514601206
5936 165A St,SURREY,-122.76374017475054,49.11039048330682
5948 165A St,SURREY,-122.76371797435579,49.11069517957281
16564 59A Ave,SURREY,-122.76348173222407,49.1107222758847
16570 59A Ave,SURREY,-122.76329747880341,49.110725864351515
16574 60 Ave,SURREY,-122.76310974965229,49.11145716767723
16606 59A Ave,SURREY,-122.76239142864996,49.1107160763219
16605 59A Ave,SURREY,-122.76234822221565,49.110908320987406
16616 60 Ave,SURREY,-122.76194088241893,49.111452780735014
16656 59A Ave,SURREY,-122.76109855746209,49.11074909042206
16655 59A Ave,SURREY,-122.76109826091658,49.11081056564108
16488 62 Ave,SURREY,-122.76555582556513,49.11460323268623
6211 165 St,SURREY,-122.7655528630393,49.114859085982104
6148 165 St,SURREY,-122.76541797234441,49.114049807267044
6239 165 St,SURREY,-122.76538921859729,49.11510028220356
6150 165 St,SURREY,-122.76527758782917,49.114041677003236
6078 164B St,SURREY,-122.76522871270254,49.112987809300044
6208 165 St,SURREY,-122.76516708582169,49.11477967812127
6220 165 St,SURREY,-122.76510233218929,49.11502998144046
16484 60A Ave,SURREY,-122.76464500625727,49.11220210506346
6097 165 St,SURREY,-122.76457435907625,49.11322979471244
6072 165 St,SURREY,-122.76429429859307,49.112735006030206
16553 60 Ave,SURREY,-122.76380818556078,49.111714875547484
16536 61 Ave,SURREY,-122.76365287510197,49.11326287364294
16545 61 Ave,SURREY,-122.76351313128019,49.11354021673906
6088 165A St,SURREY,-122.76346949825368,49.112834830092744
6058 165A St,SURREY,-122.76336383955048,49.112520406969395
6070 165A St,SURREY,-122.76327067674967,49.112713332116066
16572 60A Ave,SURREY,-122.76320739985451,49.11220653625521
16577 60 Ave,SURREY,-122.7631970793833,49.11171211964554
6073 166 St,SURREY,-122.76268261778931,49.11281710890088
6059 166 St,SURREY,-122.76268106284907,49.11259469048197
16605 61 Ave,SURREY,-122.76208298474437,49.11348068618367
16638 61 Ave,SURREY,-122.76052620107033,49.113311400670334
6110 166A St,SURREY,-122.76049680971711,49.1139785366989
16478 62A Ave,SURREY,-122.76551102744772,49.1155606494619
6379 165 St,SURREY,-122.76523874845316,49.11823951418895
6373 165 St,SURREY,-122.7652350589178,49.11811936536065
6329 165 St,SURREY,-122.76523110835271,49.117152643157766
16510 62A Ave,SURREY,-122.76488312156553,49.11557637112117
16508 63 Ave,SURREY,-122.76486256378111,49.11639384254442
6346 165 St,SURREY,-122.76483527646481,49.11750265985549
6322 165 St,SURREY,-122.76483313617229,49.117026614821974
16523 62A Ave,SURREY,-122.76445680340696,49.115781676853736
16537 63 Ave,SURREY,-122.76412889264662,49.11664916140474
16539 62A Ave,SURREY,-122.7640459846656,49.11577957590498
16550 63 Ave,SURREY,-122.76384148868273,49.11639597817937
16553 63B Ave,SURREY,-122.76368827975497,49.118101835891345
6309 166 St,SURREY,-122.76270068681046,49.11670514405487
6339 166 St,SURREY,-122.76265539676821,49.117352185008215
6377 166 St,SURREY,-122.7626020734176,49.118275459390446
16612 63 Ave,SURREY,-122.7624100766957,49.11623551846312
6320 166 St,SURREY,-122.76230165164745,49.117016462407584
16615 63 Ave,SURREY,-122.76215319412297,49.11662404343188
16629 62A Ave,SURREY,-122.76200111498288,49.11578606694304
16628 63 Ave,SURREY,-122.76187235079108,49.11637716472606
16636 63 Ave,SURREY,-122.76165446697064,49.1163759936807
6345 166A St,SURREY,-122.76146517391611,49.117300427088885
16640 63B Ave,SURREY,-122.76139755251334,49.11788517198504
6232 166A St,SURREY,-122.76133567812722,49.11529919999088
16657 62A Ave,SURREY,-122.76124224904939,49.11572161469516
6242 166A St,SURREY,-122.76122854739015,49.11546422483406
16658 63 Ave,SURREY,-122.76101520186998,49.1163727786211
16673 62A Ave,SURREY,-122.76087836165816,49.1157903055285
16671 63 Ave,SURREY,-122.76078949269579,49.116630751218025
16681 62A Ave,SURREY,-122.76067636962729,49.11579033585739
16680 63B Ave,SURREY,-122.76050250209613,49.11791911519246
16686 63 Ave,SURREY,-122.76035716037772,49.11636943379304
16526 77A Ave,SURREY,-122.76343617844257,49.14350700785189
16568 77A Ave,SURREY,-122.76225351642924,49.143518149273156
16578 77 Ave,SURREY,-122.76188748648543,49.14270601504371
16480 78 Ave,SURREY,-122.76547192841804,49.14440027427185
7890 164B St,SURREY,-122.76529619476449,49.14598861726374
16492 78A Ave,SURREY,-122.76507364605872,49.1453743726272
7855 165 St,SURREY,-122.76439453319273,49.1455399363567
7889 165 St,SURREY,-122.7642672956635,49.14597010111621
7861 165A St,SURREY,-122.76322883038996,49.14557919073625
7956 165A St,SURREY,-122.76317264732033,49.146862348268805
7895 165A St,SURREY,-122.76316419803405,49.14596234854824
16560 78 Ave,SURREY,-122.76280577126307,49.14438580762648
16576 79A Ave,SURREY,-122.76272819262756,49.14658410682397
16577 79A Ave,SURREY,-122.76262047422365,49.146858063352006
16580 78A Ave,SURREY,-122.76240974113901,49.14525133056924
16592 78 Ave,SURREY,-122.76236079139673,49.144393343867954
7871 166 St,SURREY,-122.76210846018259,49.14594298900482
7853 166 St,SURREY,-122.76209916336619,49.14556606531888
7886 166 St,SURREY,-122.7616964057338,49.14605853620723
16609 78A Ave,SURREY,-122.76161024842776,49.14549803674013
16617 79B Ave,SURREY,-122.76140297858728,49.147509149684424
16638 78A Ave,SURREY,-122.76098526533329,49.14524055304978
16634 79B Ave,SURREY,-122.76085570496656,49.147255514954544
16645 78A Ave,SURREY,-122.76077460315432,49.14547438309822
16663 78A Ave,SURREY,-122.76046825329585,49.14556952202225
16662 79A Ave,SURREY,-122.76040385936639,49.14652334508992
16663 79A Ave,SURREY,-122.76019929234556,49.146774788882645
8061 165 St,SURREY,-122.76534060434227,49.14922996372752
8079 165 St,SURREY,-122.76522598244524,49.14942861888425
8060 165 St,SURREY,-122.76480596684006,49.14922338610932
16541 80A Ave,SURREY,-122.7639658263338,49.1492699716939
16581 80 Ave,SURREY,-122.76277458367707,49.1484950888112
8134 166 St,SURREY,-122.76239468917554,49.15009669138708
16627 83 Ave,SURREY,-122.76133954784683,49.1538620328497
8372 166A St,SURREY,-122.76080136101739,49.154740164284334
8539 166A St,SURREY,-122.76180050073955,49.15798344234596
16631 84 Ave,SURREY,-122.7613322130575,49.1556199975374
8379 166A St,SURREY,-122.76119151997105,49.15496022084201
8387 166A St,SURREY,-122.76115690725405,49.155079442451616
16667 85 Ave,SURREY,-122.76035558215295,49.157529151827084
16477 87A Ave,SURREY,-122.76544161178319,49.16187012227616
16504 86A Ave,SURREY,-122.7651858995293,49.159455824853545
16557 87A Ave,SURREY,-122.76359845754824,49.16177870564182
8722 166 St,SURREY,-122.76203100155578,49.16103374645731
8704 166 St,SURREY,-122.76200714837472,49.16077282870794
16611 87A Ave,SURREY,-122.76190298674112,49.16167233950629
16629 87A Ave,SURREY,-122.76145497979542,49.161678702971116
16638 87A Ave,SURREY,-122.76129765210727,49.161393132738176
16636 86A Ave,SURREY,-122.7612890809308,49.15949299827293
16637 85B Ave,SURREY,-122.76071283160634,49.15887642548883
16660 86A Ave,SURREY,-122.76064743553583,49.1595262150439
16657 87A Ave,SURREY,-122.76057533131991,49.16168445212157
16643 85B Ave,SURREY,-122.76049632571127,49.15892005580314
16655 85B Ave,SURREY,-122.7602967196139,49.15878695889777
16491 89 Ave,SURREY,-122.76490471274334,49.164565174573156
16506 88 Ave,SURREY,-122.76474903259272,49.16265564757843
16487 89 Ave,SURREY,-122.76468975907041,49.16508762678693
16605 88 Ave,SURREY,-122.7619940275638,49.16299764463126
8777 166B St,SURREY,-122.76048256048307,49.162281713595284
16459 93A Ave,SURREY,-122.76527374357761,49.172266455726835
16470 93B Ave,SURREY,-122.76521306828015,49.17273675178698
16476 93A Ave,SURREY,-122.7643661513436,49.17204407185594
16626 92A Ave,SURREY,-122.76212951984873,49.170541248304104
16672 92A Ave,SURREY,-122.76060158603931,49.17058489654486
16688 92A Ave,SURREY,-122.76003059058466,49.1705885410614
16485 93B Ave,SURREY,-122.76469642744199,49.172973589674754
16695 96 Ave,SURREY,-122.7602544484996,49.177275251899566
10921 166A St,SURREY,-122.7605227989608,49.20133690781382
10903 166A St,SURREY,-122.76052453663571,49.20091988511284
10873 166A St,SURREY,-122.76052766366034,49.200215102465776
10865 166A St,SURREY,-122.7605286573019,49.20000902007211
10900 166A St,SURREY,-122.76018875665608,49.20086629689279
10896 166A St,SURREY,-122.76018927353796,49.20073100665278
10854 166A St,SURREY,-122.76019303926603,49.19978182351067
10938 166A St,SURREY,-122.760126842848,49.201634014519335
11086 168 St,SURREY,-122.76348787527179,49.204936787483454
11082 168 St,SURREY,-122.76323621536345,49.204797561568576
11062 168 St,SURREY,-122.76197793658598,49.20410151550282
11050 168 St,SURREY,-122.76147463376844,49.20382305742631
11019 168 St,SURREY,-122.76106453922358,49.20320511811714
16448 112 Ave,SURREY,-122.7651736269647,49.2054750951066
16686 48 Ave,SURREY,-122.7601116314491,49.089383869133265
16666 50 Ave,SURREY,-122.76023080972666,49.093001558291526
5253 168 St,SURREY,-122.75686942556561,49.09812679513392
5751 167 St,SURREY,-122.76001221222543,49.10744345366588
16710 57A Ave,SURREY,-122.75927628054178,49.107057003944234
5787 167A St,SURREY,-122.75812415722477,49.10804258151293
16752 57A Ave,SURREY,-122.75793953783288,49.107109650579105
16765 57 Ave,SURREY,-122.75783147147344,49.106580276768504
5760 167A St,SURREY,-122.75779323973886,49.107569710676096
5695 168 St,SURREY,-122.75735092106798,49.10536828334029
16778 57A Ave,SURREY,-122.75732175221835,49.107110127485235
5730 168 St,SURREY,-122.75638909399248,49.10656770779669
16805 57A Ave,SURREY,-122.75632754702826,49.107383566918124
16818 57A Ave,SURREY,-122.75607678867331,49.107109122008715
16813 57A Ave,SURREY,-122.7560696138711,49.107370338607865
16868 57B Ave,SURREY,-122.75545003732633,49.10784246424486
5811 167 St,SURREY,-122.75910142910907,49.10839068108336
5823 167 St,SURREY,-122.75880575799644,49.10858724597007
5810 167A St,SURREY,-122.75779041599698,49.108289170545305
5883 167A St,SURREY,-122.75776400424353,49.10967822781218
16785 58B Ave,SURREY,-122.75694466407786,49.10955518580554
5833 168 St,SURREY,-122.75688061720145,49.10843082658404
5851 168 St,SURREY,-122.75686416764178,49.10885214008506
5922 168 St,SURREY,-122.7563357206136,49.11002507425607
16850 58A Ave,SURREY,-122.75560302794635,49.10866423191018
16855 58A Ave,SURREY,-122.75555921096482,49.108809555215174
16841 60 Ave,SURREY,-122.75553940819994,49.111676980220324
5905 168A St,SURREY,-122.75546013881198,49.10990212069374
16849 60 Ave,SURREY,-122.75530810899228,49.111675949586626
16856 60 Ave,SURREY,-122.75515533474534,49.1113960451882
5938 168A St,SURREY,-122.75509471688477,49.11051759864933
5908 168A St,SURREY,-122.75504820602886,49.10998093634699
16868 60 Ave,SURREY,-122.75488854631615,49.111395209204396
6244 167 St,SURREY,-122.76011452041647,49.11519375578067
6227 167A St,SURREY,-122.7591968200431,49.115188963167505
6123 167B St,SURREY,-122.75862784030058,49.11366833938409
6165 167B St,SURREY,-122.7582922798874,49.114366138466536
6146 167B St,SURREY,-122.75811276441371,49.114000903478534
16795 61 Ave,SURREY,-122.75712865102547,49.11348870003247
6021 168 St,SURREY,-122.75690366675971,49.111791113136206
6122 168 St,SURREY,-122.7563660059207,49.113754166242494
6130 168 St,SURREY,-122.75636479647659,49.113888646563666
6138 168 St,SURREY,-122.75636358134649,49.1140245661416
16822 61 Ave,SURREY,-122.75580361486932,49.113151677169576
16827 60 Ave,SURREY,-122.75576703971879,49.11173876331923
16838 61 Ave,SURREY,-122.7555370274256,49.11310383738587
16836 61A Ave,SURREY,-122.75548120039679,49.1141431479218
16842 61A Ave,SURREY,-122.75547842148973,49.114011807574656
16852 61 Ave,SURREY,-122.7551267891599,49.11309694012515
16684 63A Ave,SURREY,-122.76007474375128,49.117104405656654
16724 64 Ave,SURREY,-122.75920108452193,49.118675351830355
6311 167A St,SURREY,-122.75918616789826,49.11673751779793
6292 167A St,SURREY,-122.7588558341081,49.116327891756384
6282 167A St,SURREY,-122.75884743115265,49.11619582016204
6260 167A St,SURREY,-122.75884714374824,49.11580280582195
16767 63B Ave,SURREY,-122.7582595234768,49.11817311793749
16768 63B Ave,SURREY,-122.75812664921372,49.11796098886275
6341 167B St,SURREY,-122.75812381502142,49.1174895056448
6241 167B St,SURREY,-122.75810365459793,49.115478488400754
6358 167B St,SURREY,-122.7575577146798,49.117488316450775
16790 63 Ave,SURREY,-122.75710010049853,49.11635649762509
6348 168 St,SURREY,-122.75627984032735,49.1169890368933
6515 168 St,SURREY,-122.75685074053318,49.12099097502737
6716 168 St,SURREY,-122.7563146637226,49.12466678759238
7168 168 St,SURREY,-122.75625928846175,49.13301901036625
16695 77 Ave,SURREY,-122.75904985813325,49.143632033407116
16738 76 Ave,SURREY,-122.75885424750865,49.141684908887136
16739 77 Ave,SURREY,-122.75812596821969,49.14374875295309
7677 168 St,SURREY,-122.75675276551608,49.14240806999978
16676 79A Ave,SURREY,-122.75990171093957,49.14652589840747
16684 79A Ave,SURREY,-122.7596409346925,49.146548563999566
16708 78A Ave,SURREY,-122.75938752285577,49.1453365457439
7886 167 St,SURREY,-122.75916518390123,49.145915830338076
16728 78A Ave,SURREY,-122.75885358819218,49.145336332335646
7852 167A St,SURREY,-122.7579537274715,49.14555249623907
7844 167A St,SURREY,-122.75794256632913,49.1453950551392
16749 80 Ave,SURREY,-122.75781956730481,49.147530369622345
16760 80 Ave,SURREY,-122.75781565648286,49.14717981169057
16760 78 Ave,SURREY,-122.7577196352813,49.144408165405075
7989 168 St,SURREY,-122.7568109176857,49.14760866317132
7857 168 St,SURREY,-122.75681613594274,49.14573261996502
7778 168 St,SURREY,-122.75629737882613,49.14411434653817
7788 168 St,SURREY,-122.75629641484927,49.14431064307121
16911 77A Ave,SURREY,-122.75478220730123,49.14415640357756
16925 77A Ave,SURREY,-122.754601632952,49.14406640145373
16710 80 Ave,SURREY,-122.7591789816949,49.147874503537224
16725 80 Ave,SURREY,-122.75841903801181,49.14784655690392
16762 Fraser Hwy,SURREY,-122.75756253517868,49.148309072648246
8120 168 St,SURREY,-122.75631333155758,49.15055792996937
8082 168A St,SURREY,-122.75457138771418,49.14993948743619
8319 167 St,SURREY,-122.75957140380781,49.15413811963235
8333 167 St,SURREY,-122.7595135430834,49.15442567339542
8351 167A St,SURREY,-122.75816511640517,49.1546491793859
8229 167A St,SURREY,-122.7580527000635,49.15235870563155
8236 167A St,SURREY,-122.757675367108,49.152540252734454
8228 167A St,SURREY,-122.75762675759344,49.152300601698585
16765 83 Ave,SURREY,-122.75744779328168,49.153937189576496
8269 168 St,SURREY,-122.75686133496083,49.15301089394258
8185 168 St,SURREY,-122.75685010949681,49.151582209041614
8190 168 St,SURREY,-122.75633164146853,49.15179247812931
16811 82 Ave,SURREY,-122.75615775341495,49.152324766783074
16836 83A Ave,SURREY,-122.75569090763494,49.15442187779258
8229 168A St,SURREY,-122.75535303923552,49.15262819187569
8348 168A St,SURREY,-122.75501658776858,49.15433688021549
8280 168A St,SURREY,-122.75498197387404,49.15331807376004
16688 84A Ave,SURREY,-122.75994719065248,49.15640962618051
16687 85A Ave,SURREY,-122.75983172296957,49.15831193173248
8458 167 St,SURREY,-122.75904783541608,49.15653602812708
8472 167 St,SURREY,-122.75901320708964,49.156691667737825
16729 84 Ave,SURREY,-122.75875476993568,49.15562488913111
16757 84A Ave,SURREY,-122.75794103333239,49.15645158370172
16758 84A Ave,SURREY,-122.75794032903657,49.156229662525114
16762 85 Ave,SURREY,-122.75779382246553,49.157082490907705
16768 85A Ave,SURREY,-122.75774092161979,49.1580614525233
16771 84A Ave,SURREY,-122.7575308405559,49.15644712497121
16786 85A Ave,SURREY,-122.757307375886,49.15806180151763
8565 168 St,SURREY,-122.7568566533083,49.15843389718183
8444 168 St,SURREY,-122.75638097450347,49.155858917329816
8538 168 St,SURREY,-122.75628488538048,49.15811910841175
16812 84 Ave,SURREY,-122.75610265552451,49.155364298806354
8541 168A St,SURREY,-122.7556269670047,49.15803334041074
8533 168A St,SURREY,-122.75562711487704,49.15789121190752
16833 Greenbrook Dr,SURREY,-122.75533745037077,49.155908346371554
16881 Greenbrook Dr,SURREY,-122.7547053545904,49.156380079810795
8659 167 St,SURREY,-122.75955973130411,49.16001736175541
8631 167 St,SURREY,-122.75955527658151,49.15954868700981
8638 167 St,SURREY,-122.75914517820539,49.159604595911034
8566 167 St,SURREY,-122.7591479243658,49.15849914604636
16725 86A Ave,SURREY,-122.75866501356327,49.15996692301369
16737 86 Ave,SURREY,-122.75839306059494,49.15930210144911
16738 86 Ave,SURREY,-122.75821895944411,49.15904941308262
16758 86 Ave,SURREY,-122.75778495518519,49.1590416122016
16750 86A Ave,SURREY,-122.75757198677078,49.159911831559
16765 86 Ave,SURREY,-122.7575598119988,49.15930273074893
16775 86A Ave,SURREY,-122.7572994027438,49.16020334248615
16770 86A Ave,SURREY,-122.75729515333423,49.160062194286475
8767 168 St,SURREY,-122.75688679303337,49.16200139319852
8581 168 St,SURREY,-122.75687139734646,49.15891336126872
16815 87 Ave,SURREY,-122.75617726726892,49.161133633650316
16855 87 Ave,SURREY,-122.75554322225078,49.16128971404338
16858 87 Ave,SURREY,-122.75549079074155,49.16107398118153
16838 86A Ave,SURREY,-122.75514917932534,49.15975271531763
16845 86A Ave,SURREY,-122.75505881705243,49.16013807007234
16848 86A Ave,SURREY,-122.75489036231303,49.15986496738636
8772 168 St,SURREY,-122.75639123857815,49.1623091591535
9087 168 St,SURREY,-122.75865359472432,49.16813543005845
16728 92A Ave,SURREY,-122.75869430687602,49.17059704576725
16739 92A Ave,SURREY,-122.7584491412167,49.170818939020386
9435 168 St,SURREY,-122.75809894871787,49.174301469405094
9542 168 St,SURREY,-122.75624050954195,49.17594162273595
9613 168 St,SURREY,-122.75682515012069,49.17756128718719
9568 168 St,SURREY,-122.75635492209236,49.1764755539225
16815 96 Ave,SURREY,-122.75586040969308,49.17726386334684
16842 96 Ave,SURREY,-122.75522809627168,49.176831993015504
9973 168 St,SURREY,-122.75674026803341,49.18391387931711
10530 168 St,SURREY,-122.75626722219003,49.19401936000306
16840 105A Ave,SURREY,-122.75554017853122,49.19430117525918
10517 168A St,SURREY,-122.75545765913495,49.193695171761156
16860 104A Ave,SURREY,-122.7545846189119,49.19238892302802
10702 168 St,SURREY,-122.7562605545843,49.197220381607615
10692 168 St,SURREY,-122.7562399631336,49.19688562680412
16822 106 Ave,SURREY,-122.7557555629304,49.19510274454273
16853 105A Ave,SURREY,-122.75532646766783,49.19455312971431
16713 108A Ave,SURREY,-122.75887987560074,49.19976613905761
16748 109 Ave,SURREY,-122.75828015537637,49.200582115252
16738 108A Ave,SURREY,-122.75817881343963,49.19954851866039
